年度,期初資金(USD),年度總損益(USD),期末資金(USD),年度報酬率(%),累積總報酬率(%),年度夏普率,最大回撤(MDD %),年度熱門產業 (Top 3),年度配對熱度 (Top 3)
2019,7000.0,0.0,7000.0,0.0,0.0,0.0,0.0,無,無
2020,7000.0,-174.04,6825.96,-2.49,-2.49,-0.426,-4.55,Information Technology (13次),"INTU-ROP (2次), CRM-HPE (1次), ROP-NOW (1次)"
2021,6825.96,-464.91,6361.05,-6.81,-9.13,-1.644,-6.94,Information Technology (19次),"AKAM-VRSN (5次), INTU-ROP (2次), WDC-HPE (2次)"
2022,6361.05,-218.84,6142.22,-3.44,-12.25,-0.591,-7.04,Information Technology (13次),"AKAM-VRSN (5次), NXPI-CSCO (1次), ORCL-JBL (1次)"
