年度,期初資金(USD),年度總損益(USD),期末資金(USD),年度報酬率(%),累積總報酬率(%),年度夏普率,最大回撤(MDD %),年度熱門產業 (Top 3),年度配對熱度 (Top 3)
2019,7000.0,0.0,7000.0,0.0,0.0,0.0,0.0,無,無
2020,7000.0,-675.12,6324.88,-9.64,-9.64,-2.335,-9.69,Information Technology (39次),"AMAT-TDY (2次), INTU-ROP (2次), WDAY-TXN (2次)"
2021,6324.88,-279.12,6045.75,-4.41,-13.63,-0.668,-6.23,Information Technology (57次),"AKAM-VRSN (5次), WDC-HPE (4次), INTU-ROP (2次)"
2022,6045.75,1462.48,7508.24,24.19,7.26,1.097,-19.93,Information Technology (39次),"AKAM-VRSN (5次), MSI-INTU (2次), TXN-TDY (2次)"
