Entry_Z,Top_N_Pairs,Stop_Loss,Annualized Return (%),Sharpe Ratio,Max Drawdown (%),Period Win Rate (%),Trade Win Rate (%),Total Trades,Avg Payoff Ratio,Avg R_EC (%)
2.0,5,15%,0.44,0.13,-11.81,54.8,62.3,2526,2.48,0.27
2.5,20,15%,0.16,0.08,-9.05,52.7,57.5,8251,1.24,0.1
2.5,5,15%,0.23,0.07,-12.8,54.8,58.1,2054,2.78,0.13
2.0,20,15%,0.09,0.04,-11.26,49.7,60.9,9936,1.15,0.07
2.0,5,5%,-0.36,-0.16,-16.32,46.6,57.4,2432,1.58,-0.16
2.5,20,5%,-0.28,-0.2,-11.61,45.6,51.4,7947,1.08,-0.13
2.5,5,5%,-0.5,-0.23,-17.95,45.9,52.5,1987,2.17,-0.28
2.0,20,5%,-0.43,-0.31,-15.32,43.5,54.9,9477,1.0,-0.21
