Entry_Z,Top_N_Pairs,Stop_Loss,Annualized Return (%),Sharpe Ratio,Max Drawdown (%),Period Win Rate (%),Trade Win Rate (%),Total Trades,Avg Payoff Ratio,Avg R_EC (%)
2.0,5,15%,0.62,0.19,-12.37,54.8,62.8,2432,3.86,0.37
2.5,5,15%,0.35,0.11,-13.32,56.1,58.5,1995,3.31,0.21
2.5,20,15%,0.19,0.09,-9.21,51.7,57.8,8025,1.28,0.12
2.0,20,15%,0.13,0.06,-10.23,52.0,61.3,9598,1.18,0.09
2.0,5,5%,-0.33,-0.14,-16.0,48.3,57.3,2445,2.53,-0.14
2.5,5,5%,-0.43,-0.19,-16.97,47.3,52.4,2004,2.26,-0.23
2.5,20,5%,-0.27,-0.19,-12.0,46.9,51.3,8059,1.1,-0.12
2.0,20,5%,-0.44,-0.31,-15.68,43.5,54.6,9649,1.01,-0.21
