Window_Idx,Window_Start_Date,Strategy_Name,Stock_A,Stock_B,Execution_Code
0,2020-12-31,Advance: Copula,ABNB,ATO,W00_ADV
0,2020-12-31,Advance: Copula,ABNB,BIIB,W00_ADV
0,2020-12-31,Advance: Copula,ABNB,AEP,W00_ADV
0,2020-12-31,Advance: Copula,ABNB,BX,W00_ADV
0,2020-12-31,Advance: Copula,ABNB,BDX,W00_ADV
0,2020-12-31,Advance: Copula,ABNB,AZO,W00_ADV
0,2020-12-31,Advance: Copula,AEP,BIIB,W00_ADV
0,2020-12-31,ML: RandomForest,BAX,BIIB,W00_ML:
0,2020-12-31,ML: RandomForest,AON,BIIB,W00_ML:
0,2020-12-31,ML: RandomForest,CPB,MMM,W00_ML:
0,2020-12-31,ML: RandomForest,CPB,CPT,W00_ML:
0,2020-12-31,ML: RandomForest,CPB,TECH,W00_ML:
0,2020-12-31,ML: RandomForest,AKAM,AMCR,W00_ML:
0,2020-12-31,ML: RandomForest,AKAM,AVGO,W00_ML:
0,2020-12-31,ML: RandomForest,BIIB,CAT,W00_ML:
0,2020-12-31,ML: RandomForest,CPB,SCHW,W00_ML:
0,2020-12-31,ML: RandomForest,AKAM,AZO,W00_ML:
0,2020-12-31,ML: RandomForest,BIIB,TECH,W00_ML:
0,2020-12-31,ML: RandomForest,CPB,CRL,W00_ML:
0,2020-12-31,ML: RandomForest,AXON,BIIB,W00_ML:
0,2020-12-31,ML: RandomForest,AEP,CCL,W00_ML:
0,2020-12-31,ML: RandomForest,AKAM,CVNA,W00_ML:
0,2020-12-31,ML: RandomForest,CPB,CVNA,W00_ML:
0,2020-12-31,ML: RandomForest,BIIB,CVNA,W00_ML:
0,2020-12-31,ML: RandomForest,ARES,CARR,W00_ML:
0,2020-12-31,ML: RandomForest,CPB,XYZ,W00_ML:
0,2020-12-31,ML: RandomForest,CAH,CARR,W00_ML:
0,2020-12-31,ML: MLP,ABNB,BMY,W00_ML:
0,2020-12-31,ML: MLP,ABNB,AEE,W00_ML:
0,2020-12-31,ML: MLP,ABNB,BIIB,W00_ML:
0,2020-12-31,ML: MLP,ABNB,AZO,W00_ML:
0,2020-12-31,ML: MLP,ABNB,APO,W00_ML:
0,2020-12-31,ML: MLP,ABNB,CPT,W00_ML:
0,2020-12-31,ML: MLP,ABNB,BRO,W00_ML:
0,2020-12-31,ML: MLP,ABNB,AIZ,W00_ML:
0,2020-12-31,ML: MLP,ABNB,ALLE,W00_ML:
0,2020-12-31,ML: MLP,ABNB,AMAT,W00_ML:
0,2020-12-31,ML: MLP,ABNB,AWK,W00_ML:
0,2020-12-31,ML: MLP,ABNB,CDW,W00_ML:
0,2020-12-31,ML: MLP,ABNB,AVB,W00_ML:
0,2020-12-31,ML: MLP,ABNB,CBRE,W00_ML:
0,2020-12-31,ML: MLP,ABNB,AFL,W00_ML:
0,2020-12-31,ML: MLP,ABNB,ACGL,W00_ML:
0,2020-12-31,ML: MLP,ABNB,BXP,W00_ML:
0,2020-12-31,ML: MLP,ABNB,CF,W00_ML:
0,2020-12-31,ML: MLP,ABNB,AIG,W00_ML:
0,2020-12-31,ML: MLP,ABNB,BA,W00_ML:
1,2021-07-02,Basic: Distance,AMZN,LNT,W01_BAS
1,2021-07-02,Basic: Distance,ADBE,LNT,W01_BAS
1,2021-07-02,Basic: Distance,AKAM,CNC,W01_BAS
1,2021-07-02,Basic: Distance,ADBE,AEE,W01_BAS
1,2021-07-02,Basic: Distance,ACGL,CDNS,W01_BAS
1,2021-07-02,Basic: Distance,AEP,APP,W01_BAS
1,2021-07-02,Basic: Distance,ADBE,AEP,W01_BAS
1,2021-07-02,Basic: Distance,AMZN,T,W01_BAS
1,2021-07-02,Basic: Distance,ADBE,T,W01_BAS
1,2021-07-02,Basic: Distance,AMZN,COR,W01_BAS
1,2021-07-02,Basic: Distance,APP,CPB,W01_BAS
