視窗代碼,交易起始日,交易結束日,分配資金(USD),視窗總損益(USD),視窗報酬率(%),年化報酬率(CAGR %),夏普率(Sharpe),涵蓋產業,入選配對數量,配對清單 (含產業)
W214,2018-01-08,2018-07-09,1000.0,-51.64,-5.16,-10.09,-2.372,"Financials, Utilities, Industrials",5,"PNW-SRE [Utilities], MS-PNC [Financials], ROK-SWK [Industrials], MCO-MSCI [Financials], CFG-RF [Financials]"
W215,2018-02-06,2018-08-06,1000.0,-44.96,-4.5,-8.86,-2.789,"Financials, Utilities, Communication Services",5,"NWS-NWSA [Communication Services], PNW-SRE [Utilities], MS-PNC [Financials], BK-ICE [Financials], ATO-XEL [Utilities]"
W216,2018-03-07,2018-09-04,1000.0,-30.09,-3.01,-5.98,-2.243,"Utilities, Materials, Consumer Staples",5,"AEP-DTE [Utilities], AEP-LNT [Utilities], DTE-XEL [Utilities], LIN-SHW [Materials], CL-HSY [Consumer Staples]"
W217,2018-04-05,2018-10-02,1000.0,-29.14,-2.91,-5.82,-1.711,"Financials, Utilities",5,"DTE-ED [Utilities], FITB-JPM [Financials], AEP-DTE [Utilities], DTE-XEL [Utilities], ED-ES [Utilities]"
W218,2018-05-03,2018-10-30,1000.0,-25.08,-2.51,-5.02,-1.783,"Utilities, Communication Services",5,"NWS-NWSA [Communication Services], DTE-ED [Utilities], ED-ES [Utilities], AEP-DTE [Utilities], DTE-XEL [Utilities]"
W219,2018-06-01,2018-11-28,1000.0,-18.39,-1.84,-3.69,-1.217,"Utilities, Communication Services",5,"DTE-ED [Utilities], NWS-NWSA [Communication Services], AEP-DTE [Utilities], DTE-XEL [Utilities], DUK-PNW [Utilities]"
W220,2018-06-29,2018-12-28,1000.0,-27.64,-2.76,-5.47,-2.045,"Financials, Utilities, Communication Services",5,"DUK-PNW [Utilities], NWS-NWSA [Communication Services], DTE-XEL [Utilities], FITB-JPM [Financials], MS-PNC [Financials]"
W221,2018-07-30,2019-01-29,1000.0,-38.5,-3.85,-7.53,-1.217,"Communication Services, Utilities, Information Technology, Financials, Industrials",5,"NWS-NWSA [Communication Services], EVRG-EXC [Utilities], CB-HIG [Financials], CRM-INTU [Information Technology], FTV-IEX [Industrials]"
W222,2018-08-27,2019-02-27,1000.0,-29.19,-2.92,-5.71,-1.909,"Real Estate, Financials, Utilities, Communication Services",5,"NWS-NWSA [Communication Services], EVRG-EXC [Utilities], HBAN-JPM [Financials], KIM-VTR [Real Estate], FISV-GPN [Financials]"
W223,2018-09-25,2019-03-27,1000.0,-26.83,-2.68,-5.28,-1.714,"Real Estate, Financials, Utilities, Communication Services",5,"NWS-NWSA [Communication Services], AEP-XEL [Utilities], EVRG-EXC [Utilities], MA-MSCI [Financials], KIM-VTR [Real Estate]"
W224,2018-10-23,2019-04-25,1000.0,-60.12,-6.01,-11.57,-2.973,"Financials, Utilities, Industrials",5,"AEP-XEL [Utilities], EVRG-EXC [Utilities], DOV-HON [Industrials], ALL-GL [Financials], GS-TRV [Financials]"
W225,2018-11-20,2019-05-23,1000.0,25.13,2.51,5.05,1.224,"Real Estate, Utilities",5,"AEP-XEL [Utilities], AEP-DUK [Utilities], ATO-EXC [Utilities], ATO-EVRG [Utilities], ARE-BXP [Real Estate]"
W226,2018-12-20,2019-06-21,1000.0,34.87,3.49,7.08,1.608,"Real Estate, Utilities, Industrials",5,"AEP-DUK [Utilities], CPT-MAA [Real Estate], ARE-INVH [Real Estate], ARE-BXP [Real Estate], NDSN-PCAR [Industrials]"
W227,2019-01-22,2019-07-22,1000.0,1.53,0.15,0.31,0.143,"Real Estate, Utilities, Communication Services",5,"GOOG-GOOGL [Communication Services], AEP-XEL [Utilities], AEP-DUK [Utilities], CPT-MAA [Real Estate], AWK-WEC [Utilities]"
W228,2019-02-20,2019-08-19,1000.0,-25.86,-2.59,-5.17,-1.858,Utilities,5,"AEP-XEL [Utilities], AWK-ETR [Utilities], AWK-WEC [Utilities], AWK-NEE [Utilities], CMS-NEE [Utilities]"
W229,2019-03-20,2019-09-17,1000.0,-21.41,-2.14,-4.27,-0.796,"Utilities, Industrials",5,"AEP-XEL [Utilities], ETR-NEE [Utilities], FE-WEC [Utilities], CMS-FE [Utilities], IEX-JCI [Industrials]"
W230,2019-04-17,2019-10-15,1000.0,-20.0,-2.0,-3.99,-0.753,"Financials, Real Estate, Utilities",5,"FRT-MAA [Real Estate], ETR-NEE [Utilities], FE-NEE [Utilities], AJG-CINF [Financials], BRO-FIS [Financials]"
W231,2019-05-16,2019-11-12,1000.0,-31.39,-3.14,-6.26,-2.344,Utilities,5,"AEP-XEL [Utilities], WEC-XEL [Utilities], CMS-FE [Utilities], ETR-NEE [Utilities], CMS-WEC [Utilities]"
W232,2019-06-14,2019-12-11,1000.0,-54.95,-5.49,-10.83,-3.802,"Financials, Utilities",5,"AEP-WEC [Utilities], ATO-LNT [Utilities], LNT-NEE [Utilities], AEE-XEL [Utilities], CB-FIS [Financials]"
W233,2019-07-15,2020-01-10,1000.0,-14.45,-1.44,-2.92,-0.67,Utilities,5,"DTE-FE [Utilities], AEE-FE [Utilities], CMS-FE [Utilities], ATO-LNT [Utilities], ED-NI [Utilities]"
W234,2019-08-12,2020-02-10,1000.0,-35.31,-3.53,-6.95,-1.515,Utilities,5,"CMS-FE [Utilities], CMS-NEE [Utilities], ATO-LNT [Utilities], ETR-NEE [Utilities], FE-NEE [Utilities]"
W235,2019-09-10,2020-03-10,1000.0,-3.61,-0.36,-0.72,-0.192,"Real Estate, Financials, Utilities",5,"CMS-FE [Utilities], AEE-DTE [Utilities], CFG-HBAN [Financials], MAA-PSA [Real Estate], ETR-WEC [Utilities]"
W236,2019-10-08,2020-04-07,1000.0,-61.56,-6.16,-11.96,-3.268,"Financials, Utilities",5,"AEE-DTE [Utilities], ETR-WEC [Utilities], AEE-NI [Utilities], BRO-FIS [Financials], CMS-NEE [Utilities]"
W237,2019-11-05,2020-05-06,1000.0,-55.19,-5.52,-10.7,-3.239,"Real Estate, Financials, Utilities",5,"ES-NEE [Utilities], ATO-LNT [Utilities], AVB-CPT [Real Estate], BRO-FIS [Financials], HBAN-KEY [Financials]"
W238,2019-12-04,2020-06-04,1000.0,-67.11,-6.71,-12.94,-2.212,"Financials, Utilities, Health Care, Industrials",5,"FE-NEE [Utilities], HON-TT [Industrials], BAX-SYK [Health Care], HBAN-TFC [Financials], CBOE-ICE [Financials]"
W239,2020-01-03,2020-07-02,1000.0,-51.36,-5.14,-10.09,-1.211,"Financials, Real Estate, Communication Services",5,"NWS-NWSA [Communication Services], HBAN-TFC [Financials], AJG-NDAQ [Financials], CBOE-ICE [Financials], AVB-CPT [Real Estate]"
W240,2020-02-03,2020-07-31,1000.0,-29.59,-2.96,-5.94,-1.312,"Financials, Real Estate, Utilities, Communication Services",5,"NWS-NWSA [Communication Services], AVB-CPT [Real Estate], NEE-SO [Utilities], AON-NDAQ [Financials], CMS-ES [Utilities]"
W241,2020-03-03,2020-08-28,1000.0,-34.01,-3.4,-6.85,-0.819,"Financials, Real Estate, Industrials, Communication Services",5,"NWS-NWSA [Communication Services], AJG-AON [Financials], AVB-CPT [Real Estate], ALL-NDAQ [Financials], RTX-SWK [Industrials]"
W242,2020-03-31,2020-09-28,1000.0,41.6,4.16,8.57,1.039,"Real Estate, Financials, Utilities, Communication Services",5,"NWS-NWSA [Communication Services], ATO-ED [Utilities], CPT-UDR [Real Estate], COF-KEY [Financials], RF-TFC [Financials]"
W243,2020-04-29,2020-10-26,1000.0,-9.14,-0.91,-1.84,-0.25,"Financials, Real Estate, Communication Services",5,"NWS-NWSA [Communication Services], RF-TFC [Financials], AMT-CCI [Real Estate], CFG-COF [Financials], CPT-UDR [Real Estate]"
W244,2020-05-28,2020-11-23,1000.0,-49.5,-4.95,-9.83,-2.312,"Real Estate, Financials, Utilities, Communication Services",5,"NWS-NWSA [Communication Services], AWK-XEL [Utilities], ATO-DUK [Utilities], IRM-UDR [Real Estate], FIS-MA [Financials]"
W245,2020-06-25,2020-12-22,1000.0,-28.74,-2.87,-5.74,-1.208,"Financials, Utilities, Industrials, Communication Services",5,"NWS-NWSA [Communication Services], RF-TFC [Financials], ADP-PAYX [Industrials], CFG-COF [Financials], CMS-EVRG [Utilities]"
W246,2020-07-24,2021-01-22,1000.0,-60.84,-6.08,-11.83,-3.982,"Financials, Industrials, Communication Services",5,"NWS-NWSA [Communication Services], FIS-MA [Financials], MA-MRSH [Financials], RF-TFC [Financials], ADP-PAYX [Industrials]"
W247,2020-08-21,2021-02-22,1000.0,-31.47,-3.15,-6.11,-2.23,"Financials, Utilities, Communication Services",5,"GOOG-GOOGL [Communication Services], RF-TFC [Financials], AWK-XEL [Utilities], AEE-WEC [Utilities], NI-PNW [Utilities]"
W248,2020-09-21,2021-03-22,1000.0,-44.86,-4.49,-8.79,-3.195,"Real Estate, Financials, Utilities, Industrials",5,"CMS-LNT [Utilities], PRU-TFC [Financials], RF-TFC [Financials], DOC-O [Real Estate], J-WM [Industrials]"
W249,2020-10-19,2021-04-20,1000.0,-39.17,-3.92,-7.66,-1.749,"Financials, Utilities, Health Care",5,"RF-TFC [Financials], FIS-V [Financials], AEE-WEC [Utilities], FIS-MRSH [Financials], DHR-TMO [Health Care]"
W250,2020-11-16,2021-05-18,1000.0,-37.97,-3.8,-7.43,-1.539,"Financials, Utilities, Industrials",5,"RF-TFC [Financials], AWK-NEE [Utilities], FITB-TFC [Financials], FIS-MRSH [Financials], IEX-UNP [Industrials]"
W251,2020-12-15,2021-06-16,1000.0,0.65,0.06,0.13,0.02,"Financials, Utilities, Industrials",5,"AFL-BAC [Financials], IEX-UNP [Industrials], FIS-V [Financials], AEP-PNW [Utilities], MRSH-WTW [Financials]"
W252,2021-01-14,2021-07-15,1000.0,113.28,11.33,24.01,2.825,"Financials, Health Care, Consumer Discretionary, Industrials",5,"DHR-TMO [Health Care], MRSH-V [Financials], AZO-ORLY [Consumer Discretionary], MRSH-WTW [Financials], IEX-UNP [Industrials]"
W253,2021-02-12,2021-08-12,1000.0,-53.26,-5.33,-10.45,-3.429,"Utilities, Health Care, Industrials, Communication Services",5,"AEE-CMS [Utilities], RSG-WM [Industrials], DHR-TMO [Health Care], IEX-UNP [Industrials], NWS-NWSA [Communication Services]"
W254,2021-03-15,2021-09-10,1000.0,-58.46,-5.85,-11.56,-1.87,"Real Estate, Financials, Utilities",5,"AON-WTW [Financials], AEE-LNT [Utilities], FRT-REG [Real Estate], AVB-UDR [Real Estate], AEE-XEL [Utilities]"
W255,2021-04-13,2021-10-08,1000.0,49.77,4.98,10.47,2.25,"Financials, Utilities, Industrials, Communication Services",5,"GOOG-GOOGL [Communication Services], AEE-LNT [Utilities], PNW-SRE [Utilities], CSX-PAYX [Industrials], MCO-MRSH [Financials]"
W256,2021-05-11,2021-11-05,1000.0,-9.66,-0.97,-1.97,-0.508,"Financials, Utilities, Industrials",5,"AEE-LNT [Utilities], CMS-XEL [Utilities], FISV-GPN [Financials], MCO-MRSH [Financials], ITW-OTIS [Industrials]"
W257,2021-06-09,2021-12-06,1000.0,-58.63,-5.86,-11.53,-4.437,"Financials, Utilities, Consumer Staples",5,"CMS-XEL [Utilities], DUK-SO [Utilities], FISV-GPN [Financials], CPB-GIS [Consumer Staples], EXC-SO [Utilities]"
W258,2021-07-08,2022-01-04,1000.0,49.02,4.9,10.19,2.098,"Financials, Utilities, Health Care",5,"FISV-GPN [Financials], PEG-SO [Utilities], D-WEC [Utilities], DUK-PEG [Utilities], AMGN-BAX [Health Care]"
W259,2021-08-05,2022-02-02,1000.0,-43.6,-4.36,-8.6,-2.854,"Utilities, Health Care, Industrials",5,"CMS-XEL [Utilities], EW-ISRG [Health Care], LHX-WM [Industrials], D-WEC [Utilities], DTE-EVRG [Utilities]"
W260,2021-09-02,2022-03-03,1000.0,-56.65,-5.66,-11.04,-3.4,"Financials, Utilities, Health Care, Industrials",5,"D-WEC [Utilities], FDS-JKHY [Financials], AMGN-BAX [Health Care], EW-ISRG [Health Care], ROL-VRSK [Industrials]"
W261,2021-10-01,2022-03-31,1000.0,-6.53,-0.65,-1.31,-0.254,"Utilities, Health Care",5,"MDT-SYK [Health Care], EW-ISRG [Health Care], D-WEC [Utilities], NI-SRE [Utilities], DTE-SO [Utilities]"
W262,2021-10-29,2022-04-29,1000.0,-47.27,-4.73,-9.25,-3.225,"Real Estate, Financials, Utilities, Industrials",5,"CSX-UNP [Industrials], D-WEC [Utilities], ACGL-EG [Financials], DTE-SO [Utilities], AVB-ESS [Real Estate]"
W263,2021-11-29,2022-05-27,1000.0,-24.5,-2.45,-4.93,-1.182,"Financials, Utilities, Industrials",5,"CSX-UNP [Industrials], D-WEC [Utilities], AFL-BRK-B [Financials], DTE-SO [Utilities], CMS-D [Utilities]"
W264,2021-12-28,2022-06-28,1000.0,-53.44,-5.34,-10.43,-2.887,"Utilities, Industrials",5,"CSX-UNP [Industrials], D-WEC [Utilities], PPL-SO [Utilities], PEG-SO [Utilities], CMS-D [Utilities]"
