Dataset,ReEntry,Method,Top_N,Stop_Loss,Z_Window,Vol_Adjust,Final_Equity,Cum_Ret,Ann_Ret,Sharpe,MDD,Entries,Stop_Losses,Gross_Profit,Gross_Loss,Total_Trades,Win_Rate,Profit_Factor,_path
Current,NoReEntry,HDBSCAN (AE PCA),10,0.15,60,NoVolAdj,9387.353,-0.06205988,-0.015889704,-1.2278670234493576,-0.08764756,929,413,1849.16552734375,-2461.8125,1897,0.26410121244069584,0.7511398724897814,current/HDBSCAN_AE_PCA_NoReEntry/HDBSCAN_AE_PCA_TradeLogs_Top10_SL15_ZWin60_NoVolAdj.csv
Current,NoReEntry,HDBSCAN (AE PCA),10,0.05,0,NoVolAdj,9399.009,-0.060423613,-0.015460789,-1.9990879144890277,-0.064461656,1142,684,1120.877685546875,-1721.8690185546875,2294,0.22842197035745423,0.650965708464703,current/HDBSCAN_AE_PCA_NoReEntry/HDBSCAN_AE_PCA_TradeLogs_Top10_SL5_ZWin0_NoVolAdj.csv
Current,NoReEntry,HDBSCAN (AE PCA),10,0.05,0,NoVolAdj,9340.722,-0.06563747,-0.01682949,-1.8071380493284679,-0.067817196,967,607,1104.3170166015625,-1763.595703125,1964,0.21792260692464357,0.6261735695118615,current/HDBSCAN_AE_PCA_NoReEntry/HDBSCAN_AE_PCA_TradeLogs_Top10_SL5_ZWin0.csv
Current,NoReEntry,HDBSCAN (AE PCA),10,0.05,0,VolAdj,9427.598,-0.058754444,-0.015023828,-1.6939134631367168,-0.06482931,1109,619,1251.67822265625,-1824.0806884765625,2227,0.22855859901212394,0.68619674039838,current/HDBSCAN_AE_PCA_NoReEntry/HDBSCAN_AE_PCA_TradeLogs_Top10_SL5_ZWin0_VolAdj.csv
Current,NoReEntry,HDBSCAN (AE PCA),10,0.05,20,NoVolAdj,8756.551,-0.12330085,-0.03236258,-2.709170361852531,-0.12573461,1562,396,2092.581298828125,-3336.03125,3148,0.28907242693773827,0.6272666956666323,current/HDBSCAN_AE_PCA_NoReEntry/HDBSCAN_AE_PCA_TradeLogs_Top10_SL5_ZWin20_NoVolAdj.csv
Current,NoReEntry,HDBSCAN (AE PCA),10,0.05,20,VolAdj,8758.749,-0.12308061,-0.032301843,-2.68193954951286,-0.12552062,1575,395,2093.90576171875,-3335.15673828125,3174,0.2908002520478891,0.6278282929508824,current/HDBSCAN_AE_PCA_NoReEntry/HDBSCAN_AE_PCA_TradeLogs_Top10_SL5_ZWin20_VolAdj.csv
Current,NoReEntry,HDBSCAN (AE PCA),10,0.05,60,NoVolAdj,9427.324,-0.058065712,-0.014843643,-1.2749590216635303,-0.075005524,863,417,1677.0018310546875,-2249.67724609375,1768,0.26244343891402716,0.7454410778108579,current/HDBSCAN_AE_PCA_NoReEntry/HDBSCAN_AE_PCA_TradeLogs_Top10_SL5_ZWin60_NoVolAdj.csv
Current,NoReEntry,HDBSCAN (AE PCA),10,0.05,60,VolAdj,9420.729,-0.05872464,-0.015016019,-1.1503494882815208,-0.0701865,1045,547,1813.2322998046875,-2392.50390625,2129,0.2635039924847346,0.7578806016023354,current/HDBSCAN_AE_PCA_NoReEntry/HDBSCAN_AE_PCA_TradeLogs_Top10_SL5_ZWin60_VolAdj.csv
Current,NoReEntry,HDBSCAN (AE PCA),10,0.05,60,NoVolAdj,9414.169,-0.05759561,-0.014720798,-1.1934685309953206,-0.08104424,814,399,1662.93701171875,-2248.767333984375,1652,0.25907990314769974,0.7394882461105264,current/HDBSCAN_AE_PCA_NoReEntry/HDBSCAN_AE_PCA_TradeLogs_Top10_SL5_ZWin60.csv
Current,NoReEntry,HDBSCAN (AE PCA),10,0.15,60,VolAdj,9345.309,-0.06626046,-0.016993403,-1.0654205535342682,-0.09176749,1203,610,2040.8961181640625,-2695.587158203125,2438,0.2690730106644791,0.7571248853717352,current/HDBSCAN_AE_PCA_NoReEntry/HDBSCAN_AE_PCA_TradeLogs_Top10_SL15_ZWin60_VolAdj.csv
Current,NoReEntry,HDBSCAN (AE PCA),20,0.0,0,NoVolAdj,9386.644,-0.060557306,-0.015495777,-1.5232974169985982,-0.06835058,2020,1233,1270.42236328125,-1883.77880859375,4115,0.21992709599027946,0.6744010270662437,current/HDBSCAN_AE_PCA_NoReEntry/HDBSCAN_AE_PCA_TradeLogs_Top20_SL0_ZWin0.csv
Current,NoReEntry,HDBSCAN (AE PCA),10,0.05,20,NoVolAdj,8749.137,-0.12445706,-0.032681763,-2.474385509612122,-0.1254086,1568,365,2192.8310546875,-3443.69384765625,3150,0.2914285714285714,0.6367671319504558,current/HDBSCAN_AE_PCA_NoReEntry/HDBSCAN_AE_PCA_TradeLogs_Top10_SL5_ZWin20.csv
Current,NoReEntry,HDBSCAN (AE PCA),20,0.0,20,NoVolAdj,8498.419,-0.14885008,-0.03949082,-2.6436478774511567,-0.15118164,3753,489,2874.350341796875,-4375.93017578125,7514,0.3051636944370508,0.6568547089039662,current/HDBSCAN_AE_PCA_NoReEntry/HDBSCAN_AE_PCA_TradeLogs_Top20_SL0_ZWin20.csv
Current,NoReEntry,HDBSCAN (AE PCA),20,0.0,0,VolAdj,9525.945,-0.047985494,-0.012218475,-1.6682517220051725,-0.053029492,2643,1593,1477.168701171875,-1951.223388671875,5350,0.2394392523364486,0.7570474553286944,current/HDBSCAN_AE_PCA_NoReEntry/HDBSCAN_AE_PCA_TradeLogs_Top20_SL0_ZWin0_VolAdj.csv
Current,NoReEntry,HDBSCAN (AE PCA),20,0.0,60,NoVolAdj,9424.773,-0.05739379,-0.014668047,-1.0762111011182582,-0.080696255,2014,836,1997.508056640625,-2572.734130859375,4083,0.2733284349742836,0.776414489426233,current/HDBSCAN_AE_PCA_NoReEntry/HDBSCAN_AE_PCA_TradeLogs_Top20_SL0_ZWin60.csv
Current,NoReEntry,HDBSCAN (AE PCA),20,0.0,20,VolAdj,8651.742,-0.1342923,-0.035409868,-2.786559792526266,-0.13752894,3571,525,2729.6826171875,-4077.938232421875,7160,0.3128491620111732,0.6693781174724537,current/HDBSCAN_AE_PCA_NoReEntry/HDBSCAN_AE_PCA_TradeLogs_Top20_SL0_ZWin20_VolAdj.csv
Current,NoReEntry,HDBSCAN (AE PCA),20,0.0,20,NoVolAdj,8620.834,-0.13738471,-0.036272407,-2.8482013421245873,-0.14035243,3578,570,2774.812744140625,-4153.97900390625,7180,0.3129526462395543,0.6679891115316886,current/HDBSCAN_AE_PCA_NoReEntry/HDBSCAN_AE_PCA_TradeLogs_Top20_SL0_ZWin20_NoVolAdj.csv
Current,NoReEntry,HDBSCAN (AE PCA),20,0.0,0,NoVolAdj,9428.636,-0.057244837,-0.014629126,-2.231921482642233,-0.060991503,2633,1661,1300.8773193359375,-1872.241455078125,5332,0.23424606151537886,0.694823477926705,current/HDBSCAN_AE_PCA_NoReEntry/HDBSCAN_AE_PCA_TradeLogs_Top20_SL0_ZWin0_NoVolAdj.csv
Current,NoReEntry,HDBSCAN (AE PCA),20,0.15,0,VolAdj,9525.945,-0.047985494,-0.012218475,-1.6682517220051725,-0.053029492,2643,1593,1477.168701171875,-1951.223388671875,5350,0.2394392523364486,0.7570474553286944,current/HDBSCAN_AE_PCA_NoReEntry/HDBSCAN_AE_PCA_TradeLogs_Top20_SL15_ZWin0_VolAdj.csv
Current,NoReEntry,HDBSCAN (AE PCA),20,0.0,60,NoVolAdj,9425.235,-0.05704552,-0.014577031,-1.318613810036941,-0.07481538,1979,856,1865.89794921875,-2440.66259765625,4033,0.27076617902305977,0.76450466812191,current/HDBSCAN_AE_PCA_NoReEntry/HDBSCAN_AE_PCA_TradeLogs_Top20_SL0_ZWin60_NoVolAdj.csv
Current,NoReEntry,HDBSCAN (AE PCA),20,0.15,0,NoVolAdj,9428.636,-0.057244837,-0.014629126,-2.231921482642233,-0.060991503,2633,1661,1300.8773193359375,-1872.241455078125,5332,0.23424606151537886,0.694823477926705,current/HDBSCAN_AE_PCA_NoReEntry/HDBSCAN_AE_PCA_TradeLogs_Top20_SL15_ZWin0_NoVolAdj.csv
Current,NoReEntry,HDBSCAN (AE PCA),20,0.0,60,VolAdj,9362.939,-0.06327826,-0.016209424,-1.254136809341514,-0.07828051,2515,1239,2036.2451171875,-2673.305908203125,5093,0.27351266444139016,0.761695513760403,current/HDBSCAN_AE_PCA_NoReEntry/HDBSCAN_AE_PCA_TradeLogs_Top20_SL0_ZWin60_VolAdj.csv
Current,NoReEntry,HDBSCAN (AE PCA),20,0.15,20,NoVolAdj,8532.414,-0.14544535,-0.03853172,-2.622021012930212,-0.14778168,3739,495,2865.34619140625,-4332.93359375,7486,0.3053700240448838,0.6612947393284176,current/HDBSCAN_AE_PCA_NoReEntry/HDBSCAN_AE_PCA_TradeLogs_Top20_SL15_ZWin20.csv
Current,NoReEntry,HDBSCAN (AE PCA),20,0.15,20,VolAdj,8633.783,-0.13608927,-0.035910785,-2.8509072114654965,-0.13932493,3554,534,2707.899169921875,-4074.115478515625,7127,0.3128946260698751,0.6646594050172773,current/HDBSCAN_AE_PCA_NoReEntry/HDBSCAN_AE_PCA_TradeLogs_Top20_SL15_ZWin20_VolAdj.csv
