Date,Equity,Daily_Return,Drawdown
2019-01-02,10000.0,,0.0
2019-01-03,10000.0,0.0,0.0
2019-01-04,10000.0,0.0,0.0
2019-01-07,10000.0,0.0,0.0
2019-01-08,10000.0,0.0,0.0
2019-01-09,10000.0,0.0,0.0
2019-01-10,10000.0,0.0,0.0
2019-01-11,10000.0,0.0,0.0
2019-01-14,10000.0,0.0,0.0
2019-01-15,10000.0,0.0,0.0
2019-01-16,10000.0,0.0,0.0
2019-01-17,10000.0,0.0,0.0
2019-01-18,10000.0,0.0,0.0
2019-01-22,10000.0,0.0,0.0
2019-01-23,10000.0,0.0,0.0
2019-01-24,10000.0,0.0,0.0
2019-01-25,10000.0,0.0,0.0
2019-01-28,10000.0,0.0,0.0
2019-01-29,10000.0,0.0,0.0
2019-01-30,10000.0,0.0,0.0
2019-01-31,9999.6667,-3.3330000000053595e-05,-3.3330000000053595e-05
2019-02-01,9999.3114,-3.5531184254256054e-05,-6.885999999994841e-05
2019-02-04,10001.455,0.00021437476184593685,0.0
2019-02-05,10000.0465,-0.00014082950930638383,-0.00014082950930638383
2019-02-06,9999.7106,-3.358984380719132e-05,-0.00017441462267231422
2019-02-07,9999.2172,-4.9341427940996496e-05,-0.00022374744474684682
2019-02-08,10000.1653,9.481742230788015e-05,-0.00012895123759482097
2019-02-11,9999.6853,-4.7999206573279274e-05,-0.00017694425461101115
2019-02-12,10000.7356,0.00010503330539823885,-7.192953425272375e-05
2019-02-13,10000.7652,2.959782278377787e-06,-6.896996487015805e-05
2019-02-14,10000.4045,-3.6067240134718404e-05,-0.00010503471744849335
2019-02-15,10000.4371,3.259868138094646e-06,-0.00010177519170972982
2019-02-19,10000.8316,3.944827571600307e-05,-6.233093084961894e-05
2019-02-20,10001.6451,8.134323549646716e-05,0.0
2019-02-21,10001.0176,-6.273967869552255e-05,-6.273967869552255e-05
2019-02-22,10000.1681,-8.494135636738509e-05,-0.00014767570586948775
2019-02-25,10000.6591,4.909917464290814e-05,-9.858378198190909e-05
2019-02-26,10000.6208,-3.8297475813964255e-06,-0.00010241315201231505
2019-02-27,10001.3156,6.947568694926076e-05,-3.2944580287130876e-05
2019-02-28,10000.9938,-3.217576695602187e-05,-6.51192872259676e-05
2019-03-01,10001.3464,3.525649620939042e-05,-2.9865086894509396e-05
2019-03-04,10000.9003,-4.460399451833297e-05,-7.446774931063604e-05
2019-03-05,10000.6143,-2.8597425373755314e-05,-0.00010306304509855035
2019-03-06,10000.5267,-8.75946190614929e-06,-0.00011182160422784637
2019-03-07,9999.6197,-9.069522308269296e-05,-0.00020250668562515894
2019-03-08,10000.2332,6.135233322934752e-05,-0.00014116677665343413
2019-03-11,9999.4652,-7.679820906580925e-05,-0.00021795414436365235
2019-03-12,9997.4898,-0.0001975505650043674,-0.00041546165240358146
2019-03-13,9996.8582,-6.317585840387441e-05,-0.0004786112636608886
2019-03-14,9996.6289,-2.2937206411555167e-05,-0.0005015374920671611
2019-03-15,9995.3895,-0.00012398179550310306,-0.0006254571060515524
2019-03-18,9996.156,7.66853557834235e-05,-0.0005488197136688244
2019-03-19,9996.2803,1.2434779929293427e-05,-0.0005363917581917566
2019-03-20,9996.0966,-1.837683563155057e-05,-0.0005547587366401263
2019-03-21,9991.904,-0.00041942371785408383,-0.0009739497755223425
2019-03-22,9991.1468,-7.578135258301533e-05,-0.0010496573208740312
2019-03-25,9989.5891,-0.00015590802849585472,-0.0012054016993664485
2019-03-26,9989.8487,2.598705486311914e-05,-0.0011794459693434955
2019-03-27,9990.0195,1.7097356038942024e-05,-0.0011623687787121195
2019-03-28,9993.5178,0.0003501794966465077,-0.0008125963197794794
2019-03-29,9995.5033,0.0001986787875636331,-0.0006140789778672495
2019-04-01,9995.2194,-2.8402771874436183e-05,-0.0006424643081965886
2019-04-02,9995.7285,5.093434967506916e-05,-0.0005915626820232056
2019-04-03,9996.0164,2.8802302903807586e-05,-0.0005627774174870037
2019-04-04,9995.4953,-5.213076681220841e-05,-0.0006148788462809751
2019-04-05,10000.4735,0.0004980443540401058,-0.00011714072917856644
2019-04-08,10000.6734,1.9989053518187916e-05,-9.715401719267991e-05
2019-04-09,10001.1024,4.289711130844864e-05,-5.4261073510808444e-05
2019-04-10,9999.8902,-0.0001212066381801602,-0.00017546113488864368
2019-04-11,9998.5667,-0.0001323514532189929,-0.00030778936557152026
2019-04-12,10000.1051,0.00015386205304812606,-0.00015397466962696615
2019-04-15,9999.6082,-4.968947776362587e-05,-0.0002036564964696952
2019-04-16,9999.4732,-1.3500528950771695e-05,-0.00021715427595003778
2019-04-17,9997.5668,-0.00019065004344431813,-0.00040776291892208327
2019-04-18,9997.6482,8.141981106657425e-06,-0.0003996242578133691
2019-04-22,9998.5536,9.056129820605996e-05,-0.00030909915009891265
2019-04-23,10001.6237,0.00030705441235023834,-2.1396480064383994e-06
2019-04-24,10000.2913,-0.0001332183693333322,-0.0001353577322993349
2019-04-25,9999.3568,-9.344727788096474e-05,-0.0002287923613686349
2019-04-26,10000.9787,0.00016220043273174056,-6.662903885679139e-05
2019-04-29,10000.5529,-4.2575833103075666e-05,-0.0001092020351730616
2019-04-30,9999.2118,-0.00013410258546819875,-0.00024328997636602345
