METHOD,runs,best_ann_median_%,best_ann_min_%,best_ann_max_%,best_sharpe_median,best_sharpe_min,best_sharpe_max,pos_sharpe_min
Agglomerative (Fundamentals-DRL-THR),5,2.94512894786072,2.88712719947583,2.96328985367337,0.3542025489111869,0.3474493535972888,0.3557787726995757,9/15
SSD (Rolling-DRL-THR),5,2.55036976177129,2.44247568053779,2.72487547935973,0.3767422613954783,0.3401279064770845,0.4252006182143428,15/15
HDBSCAN (Cluster-SSD-DTW-PCA-DRL-THR),5,1.57084864637828,1.35929228000362,1.70614310051322,0.3478730905782513,0.2991474074145954,0.4067044680440076,15/15
HDBSCAN (Cluster-SSD-DTW-PCA-PCA5-DRL-THR),5,1.1801534937865499,1.13360340851693,1.27453910517461,0.4600719506206656,0.3275665421393154,0.4772412786945693,15/15
