Dataset,ReEntry,Method,Top_N,Stop_Loss,Z_Window,Final_Equity,Cum_Ret,Ann_Ret,Sharpe,MDD,Entries,Stop_Losses,Gross_Profit,Gross_Loss,Total_Trades,Win_Rate,Profit_Factor,_path
Current,NoReEntry,HDBSCAN (AE PCA),5,0.15,20,8508.262,-0.14923567,-0.039599657,-1.7664207726852386,-0.15304403,979,158,2906.341796875,-4398.0810546875,1957,0.2917731221257026,0.660820426166863,current/HDBSCAN_AE_PCA_NoReEntry/HDBSCAN_AE_PCA_TradeLogs_Top5_SL15_ZWin20.csv
Current,NoReEntry,HDBSCAN (AE PCA),5,0.05,0,9409.814,-0.057810962,-0.014777064,-1.3403122472561546,-0.059008893,480,308,1121.7147216796875,-1711.90087890625,971,0.2121524201853759,0.655245134517579,current/HDBSCAN_AE_PCA_NoReEntry/HDBSCAN_AE_PCA_TradeLogs_Top5_SL5_ZWin0.csv
Current,NoReEntry,HDBSCAN (AE PCA),5,0.05,20,8856.061,-0.114457965,-0.029931724,-1.8382770575595846,-0.11593462,821,216,2257.126953125,-3401.06689453125,1645,0.2838905775075988,0.6636526193455208,current/HDBSCAN_AE_PCA_NoReEntry/HDBSCAN_AE_PCA_TradeLogs_Top5_SL5_ZWin20.csv
Current,NoReEntry,HDBSCAN (AE PCA),5,0.05,60,9297.897,-0.07101238,-0.018246472,-1.1637852431588303,-0.094919026,377,170,1572.978515625,-2275.08154296875,766,0.2584856396866841,0.69139434605602,current/HDBSCAN_AE_PCA_NoReEntry/HDBSCAN_AE_PCA_TradeLogs_Top5_SL5_ZWin60.csv
Current,NoReEntry,HDBSCAN (AE PCA),20,0.15,0,9386.644,-0.060557306,-0.015495777,-1.5232974169985982,-0.06835058,2020,1233,1270.42236328125,-1883.77880859375,4115,0.21992709599027946,0.6744010270662437,current/HDBSCAN_AE_PCA_NoReEntry/HDBSCAN_AE_PCA_TradeLogs_Top20_SL15_ZWin0.csv
Current,NoReEntry,HDBSCAN (AE PCA),20,0.15,20,8532.414,-0.14544535,-0.03853172,-2.622021012930212,-0.14778168,3739,495,2865.34619140625,-4332.93359375,7486,0.3053700240448838,0.6612947393284176,current/HDBSCAN_AE_PCA_NoReEntry/HDBSCAN_AE_PCA_TradeLogs_Top20_SL15_ZWin20.csv
Current,NoReEntry,HDBSCAN (AE PCA),20,0.05,0,9400.549,-0.059165478,-0.015131354,-1.5764741984049941,-0.06748997,2009,1233,1251.2628173828125,-1850.71435546875,4093,0.2154898607378451,0.676097212779166,current/HDBSCAN_AE_PCA_NoReEntry/HDBSCAN_AE_PCA_TradeLogs_Top20_SL5_ZWin0.csv
Current,NoReEntry,HDBSCAN (AE PCA),20,0.15,60,9445.584,-0.055312753,-0.014124632,-1.0601926213194592,-0.078614175,2010,843,1987.1865234375,-2541.60302734375,4075,0.27312883435582824,0.7818634547009982,current/HDBSCAN_AE_PCA_NoReEntry/HDBSCAN_AE_PCA_TradeLogs_Top20_SL15_ZWin60.csv
Current,NoReEntry,HDBSCAN (AE PCA),20,0.05,20,8696.245,-0.12927908,-0.03401643,-3.0865469141572484,-0.1308165,3033,651,2166.228759765625,-3469.984375,6099,0.2975897688145598,0.6242762288419886,current/HDBSCAN_AE_PCA_NoReEntry/HDBSCAN_AE_PCA_TradeLogs_Top20_SL5_ZWin20.csv
Current,NoReEntry,HDBSCAN (AE PCA),20,0.05,60,9377.091,-0.06180334,-0.01582241,-1.3504164026363534,-0.07855776,1910,929,1746.8369140625,-2369.745849609375,3882,0.2660999484801649,0.7371410374451951,current/HDBSCAN_AE_PCA_NoReEntry/HDBSCAN_AE_PCA_TradeLogs_Top20_SL5_ZWin60.csv
Current,NoReEntry,HDBSCAN (AE UMAP),10,0.0,0,9447.149,-0.05315119,-0.013561189,-1.5002385985955349,-0.062559135,1001,529,1130.5677490234375,-1683.4178466796875,2004,0.2250499001996008,0.6715906875131022,current/HDBSCAN_AE_UMAP_NoReEntry/HDBSCAN_AE_UMAP_TradeLogs_Top10_SL0_ZWin0.csv
Current,NoReEntry,HDBSCAN (AE UMAP),10,0.0,20,8379.57,-0.16026849,-0.042728543,-2.7628429427741406,-0.16338305,1863,264,2388.928466796875,-4009.358642578125,3732,0.2920685959271168,0.5958380578447654,current/HDBSCAN_AE_UMAP_NoReEntry/HDBSCAN_AE_UMAP_TradeLogs_Top10_SL0_ZWin20.csv
Current,NoReEntry,HDBSCAN (AE UMAP),10,0.0,60,9018.838,-0.099537194,-0.025871038,-1.8005870524091088,-0.102551,973,399,1599.872802734375,-2581.035400390625,1969,0.25038090401218893,0.6198569777432125,current/HDBSCAN_AE_UMAP_NoReEntry/HDBSCAN_AE_UMAP_TradeLogs_Top10_SL0_ZWin60.csv
Current,NoReEntry,HDBSCAN (AE UMAP),10,0.15,60,9109.931,-0.090442,-0.023420513,-1.80804287216785,-0.09343839,969,403,1591.5570068359375,-2481.626953125,1961,0.24987251402345742,0.6413361221886159,current/HDBSCAN_AE_UMAP_NoReEntry/HDBSCAN_AE_UMAP_TradeLogs_Top10_SL15_ZWin60.csv
Current,NoReEntry,HDBSCAN (AE UMAP),10,0.15,0,9447.149,-0.05315119,-0.013561189,-1.5002385985955349,-0.062559135,1001,529,1130.5677490234375,-1683.4178466796875,2004,0.2250499001996008,0.6715906875131022,current/HDBSCAN_AE_UMAP_NoReEntry/HDBSCAN_AE_UMAP_TradeLogs_Top10_SL15_ZWin0.csv
Current,NoReEntry,HDBSCAN (AE UMAP),10,0.15,20,8433.341,-0.15488029,-0.041196644,-2.770994048829904,-0.15800601,1852,269,2372.47314453125,-3939.131591796875,3710,0.2921832884097035,0.6022832924576207,current/HDBSCAN_AE_UMAP_NoReEntry/HDBSCAN_AE_UMAP_TradeLogs_Top10_SL15_ZWin20.csv
Current,NoReEntry,HDBSCAN (AE UMAP),10,0.05,0,9462.959,-0.0515669,-0.013148785,-1.5051806114615713,-0.06165725,999,530,1131.73681640625,-1668.77734375,2000,0.2255,0.6781832343571149,current/HDBSCAN_AE_UMAP_NoReEntry/HDBSCAN_AE_UMAP_TradeLogs_Top10_SL5_ZWin0.csv
Current,NoReEntry,HDBSCAN (AE UMAP),10,0.05,20,8633.427,-0.13330346,-0.035134554,-3.103676494263887,-0.13928747,1576,386,1857.231201171875,-3223.8037109375,3164,0.2838179519595449,0.576099343415602,current/HDBSCAN_AE_UMAP_NoReEntry/HDBSCAN_AE_UMAP_TradeLogs_Top10_SL5_ZWin20.csv
Current,NoReEntry,HDBSCAN (AE UMAP),10,0.05,60,9292.442,-0.071959734,-0.018496811,-1.6221009272350226,-0.076876834,912,428,1513.891357421875,-2221.44970703125,1851,0.2506753106428957,0.6814880177706307,current/HDBSCAN_AE_UMAP_NoReEntry/HDBSCAN_AE_UMAP_TradeLogs_Top10_SL5_ZWin60.csv
Current,NoReEntry,HDBSCAN (AE UMAP),5,0.0,0,9492.477,-0.047923326,-0.012202382,-1.3350212964521226,-0.0657655,370,205,947.6821899414062,-1455.205078125,750,0.216,0.651236175702791,current/HDBSCAN_AE_UMAP_NoReEntry/HDBSCAN_AE_UMAP_TradeLogs_Top5_SL0_ZWin0.csv
Current,NoReEntry,HDBSCAN (AE UMAP),5,0.0,60,8876.25,-0.11070597,-0.028905809,-1.8075298581732948,-0.1148383,413,153,1464.48486328125,-2588.23486328125,833,0.2545018007202881,0.5658237913636016,current/HDBSCAN_AE_UMAP_NoReEntry/HDBSCAN_AE_UMAP_TradeLogs_Top5_SL0_ZWin60.csv
Current,NoReEntry,HDBSCAN (AE UMAP),5,0.0,20,8529.1045,-0.14373577,-0.038051188,-2.143540080261057,-0.1503609,888,84,2440.64501953125,-3911.541748046875,1777,0.297129994372538,0.6239598543847631,current/HDBSCAN_AE_UMAP_NoReEntry/HDBSCAN_AE_UMAP_TradeLogs_Top5_SL0_ZWin20.csv
Current,NoReEntry,HDBSCAN (AE UMAP),20,0.0,60,9248.554,-0.07564592,-0.019472897,-1.6093738036347254,-0.080187164,2143,930,1730.7344970703125,-2482.18115234375,4351,0.2622385658469317,0.6972635721756654,current/HDBSCAN_AE_UMAP_NoReEntry/HDBSCAN_AE_UMAP_TradeLogs_Top20_SL0_ZWin60.csv
Current,NoReEntry,HDBSCAN (AE UMAP),20,0.0,0,9559.482,-0.042880893,-0.01089704,-1.082955163418882,-0.058801245,2385,1356,1405.260009765625,-1845.777587890625,4814,0.23847112588284172,0.7613376709008433,current/HDBSCAN_AE_UMAP_NoReEntry/HDBSCAN_AE_UMAP_TradeLogs_Top20_SL0_ZWin0.csv
Current,NoReEntry,HDBSCAN (AE UMAP),20,0.0,20,8570.1875,-0.1413464,-0.037380874,-2.918612713131103,-0.14583287,3656,561,2501.37060546875,-3931.182861328125,7329,0.30113248737890574,0.6362895580552256,current/HDBSCAN_AE_UMAP_NoReEntry/HDBSCAN_AE_UMAP_TradeLogs_Top20_SL0_ZWin20.csv
Current,NoReEntry,HDBSCAN (AE UMAP),5,0.15,0,9492.477,-0.047923326,-0.012202382,-1.3350212964521226,-0.0657655,370,205,947.6821899414062,-1455.205078125,750,0.216,0.651236175702791,current/HDBSCAN_AE_UMAP_NoReEntry/HDBSCAN_AE_UMAP_TradeLogs_Top5_SL15_ZWin0.csv
Current,NoReEntry,HDBSCAN (AE UMAP),20,0.15,0,9559.482,-0.042880893,-0.01089704,-1.082955163418882,-0.058801245,2385,1356,1405.260009765625,-1845.777587890625,4814,0.23847112588284172,0.7613376709008433,current/HDBSCAN_AE_UMAP_NoReEntry/HDBSCAN_AE_UMAP_TradeLogs_Top20_SL15_ZWin0.csv
