Ticker_A,Ticker_B,SSD,Rank,Pearson_Corr
WEC,XEL,0.038788,1,0.9914
AEP,WEC,0.063899,2,0.988
AEP,XEL,0.065303,3,0.9948
CPT,MAA,0.076328,4,0.9735
ETR,NEE,0.08053,5,0.9752
DUK,PNW,0.09461,6,0.9703
AEP,DTE,0.107401,7,0.9727
AEP,ES,0.112188,8,0.9851
DUK,ETR,0.114044,9,0.9684
EQR,UDR,0.122311,10,0.9834
AIV,AVB,0.125111,11,0.9734
ETR,PNW,0.135794,12,0.9532
DUK,ES,0.136532,13,0.9783
AJG,AON,0.138744,14,0.9488
ATO,CMS,0.14673,15,0.9607
DTE,WEC,0.147172,16,0.9801
DTE,NEE,0.151682,17,0.9696
CMA,RF,0.154444,18,0.9599
DOC,O,0.155401,19,0.9849
CMS,FE,0.15558,20,0.9725
