Ticker_A,Ticker_B,SSD,Rank,Pearson_Corr
DUK,ED,0.056449,1,0.9833
ED,EVRG,0.078455,2,0.9762
EVRG,LNT,0.085746,3,0.972
PNW,XEL,0.088288,4,0.9749
BXP,PSA,0.108198,5,0.9758
ED,XEL,0.111398,6,0.9826
LLY,PEP,0.120079,7,0.7331
CINF,GL,0.122093,8,0.9752
D,FRT,0.128737,9,0.913
HSIC,TECH,0.134338,10,0.9642
ED,LNT,0.136751,11,0.9548
D,KMB,0.137996,12,0.9009
CLX,KMB,0.143222,13,0.8105
BMY,SRE,0.147295,14,0.9078
DUK,O,0.14867,15,0.9227
DUK,EVRG,0.149716,16,0.9643
SO,WEC,0.156253,17,0.9854
ED,O,0.156495,18,0.9357
MCD,SO,0.159839,19,0.9354
DUK,XEL,0.160063,20,0.9679
