Ticker_A,Ticker_B,SSD,Rank,Pearson_Corr
CMS,XEL,0.038751,1,0.9872
ALL,BRK-B,0.071756,2,0.9732
CB,KO,0.086942,3,0.9205
CMS,DTE,0.088246,4,0.9881
EQR,UDR,0.094412,5,0.9836
ES,SO,0.097871,6,0.9479
GE,UPS,0.097923,7,0.8729
DTE,LNT,0.100216,8,0.976
PCG,XEL,0.110664,9,0.9713
KIM,LNT,0.110868,10,0.9596
LNT,MAC,0.111997,11,0.9643
IEX,PPG,0.113229,12,0.9516
BDX,PPG,0.116135,13,0.9497
CNP,PNW,0.117668,14,0.8775
MAC,SPG,0.117919,15,0.9732
FRT,SPG,0.119995,16,0.9765
AEP,NEE,0.122999,17,0.9708
DHR,JKHY,0.127831,18,0.828
AVB,CPT,0.129583,19,0.9735
DHR,HSIC,0.131072,20,0.7966
