Ticker_A,Ticker_B,SSD,Rank,Pearson_Corr
WEC,XEL,0.04352,1,0.9889
PNC,WFC,0.054706,2,0.9699
CMS,XEL,0.060459,3,0.9953
ES,PNW,0.063533,4,0.9839
DTE,PCG,0.066419,5,0.9569
AEP,SO,0.068522,6,0.9735
FRT,KIM,0.075278,7,0.9745
AEE,CMS,0.085588,8,0.9779
CMS,WEC,0.092161,9,0.9885
CB,TRV,0.10549,10,0.9361
AEE,XEL,0.109917,11,0.981
AEP,XEL,0.113643,12,0.9812
SO,XEL,0.116693,13,0.9811
HON,MRSH,0.117527,14,0.8728
PRU,UNM,0.1184,15,0.9703
AEE,PNW,0.118731,16,0.9824
CMS,PNW,0.120221,17,0.9856
PPL,XEL,0.124364,18,0.9732
PNC,USB,0.126986,19,0.9518
ITW,MMM,0.12738,20,0.9479
