Ticker_A,Ticker_B,SSD,Rank,Pearson_Corr,Hedge_Ratio
AEE,LNT,0.074074,1,0.956,0.8936
AEE,CMS,0.100593,2,0.9273,0.9957
CPT,MAA,0.112309,3,0.974,0.954
RSG,WM,0.112763,4,0.9745,1.1368
CMS,LNT,0.121785,5,0.9296,0.8113
CMS,WEC,0.154665,6,0.9181,0.8016
FRT,REG,0.176369,7,0.9775,0.9104
DUK,SO,0.178744,8,0.944,0.9506
ETR,PNW,0.181307,9,0.8902,0.8684
EXC,SO,0.191991,10,0.9265,1.0582
ESS,UDR,0.199234,11,0.9572,1.0134
LNT,WEC,0.219309,12,0.8702,0.8737
AVB,UDR,0.221012,13,0.941,0.8578
DHR,TMO,0.222155,14,0.9921,1.0145
CMS,ES,0.244892,15,0.8338,0.7659
EMR,ITT,0.247528,16,0.9886,0.9922
FITB,RF,0.257095,17,0.9926,0.9782
AEE,WEC,0.258616,18,0.8435,0.791
CPT,DOC,0.258741,19,0.9286,0.7941
MDLZ,PEP,0.259716,20,0.9048,1.0474
