Ticker_A,Ticker_B,SSD,Rank,Pearson_Corr,Hedge_Ratio
CMS,XEL,0.027985,1,0.995,1.0896
ATO,CMS,0.042115,2,0.9888,1.0006
DUK,XEL,0.061697,3,0.9821,0.9362
ED,WEC,0.073662,4,0.9808,0.914
AVB,UDR,0.077851,5,0.9169,1.0425
CMS,WEC,0.078332,6,0.9899,0.9741
ATO,XEL,0.083171,7,0.9811,1.0869
ATO,WEC,0.092244,8,0.9791,0.9747
DTE,PCG,0.092875,9,0.9697,0.9887
WEC,XEL,0.102095,10,0.9921,1.1045
AEP,DUK,0.102772,11,0.9785,0.9755
CMS,DUK,0.105753,12,0.979,1.1243
BK,NTRS,0.106275,13,0.9691,0.9562
D,SO,0.111423,14,0.947,0.9102
AEE,DTE,0.112184,15,0.9669,0.9089
AEE,PCG,0.112527,16,0.9642,0.9239
AEP,ETR,0.113639,17,0.9602,0.9032
EIX,PNW,0.113708,18,0.9789,1.0783
ED,XEL,0.11497,19,0.9864,1.0218
ALL,EXPD,0.116202,20,0.9281,0.9263
