Ticker_A,Ticker_B,SSD,Rank,Pearson_Corr
CMS,LNT,0.111316,1,0.9638
CPT,UDR,0.13821,2,0.9785
C,KEY,0.15323,3,0.9933
HBAN,USB,0.183347,4,0.9913
EQR,ESS,0.195707,5,0.9769
DUK,EVRG,0.210027,6,0.9304
AEP,KO,0.213015,7,0.9438
EVRG,LNT,0.227466,8,0.9422
GPC,SNA,0.23222,9,0.9697
ESS,UDR,0.234265,10,0.9771
AMT,CCI,0.234716,11,0.957
ATO,DUK,0.252612,12,0.8911
CMS,DUK,0.258829,13,0.9084
AIV,AVB,0.260698,14,0.9886
AJG,AON,0.263092,15,0.934
BAC,JPM,0.268629,16,0.9891
FRT,REG,0.270123,17,0.9927
LIN,UNP,0.272929,18,0.9253
CMS,XEL,0.274395,19,0.8629
MDLZ,PEP,0.276014,20,0.7938
