Ticker_A,Ticker_B,SSD,Rank,Pearson_Corr,Hedge_Ratio
EQR,UDR,0.085461,1,0.9888,0.9266
EVRG,PPL,0.086001,2,0.9916,0.9932
ADP,PAYX,0.09088,3,0.9867,1.1037
ED,FE,0.126114,4,0.9455,0.9713
AVB,ESS,0.13389,5,0.9795,0.9579
MCO,SPGI,0.159608,6,0.9796,1.143
MAA,UDR,0.173666,7,0.9741,1.0699
CMS,DTE,0.174666,8,0.9841,1.1731
CPT,ESS,0.174841,9,0.9759,0.9833
ATO,WEC,0.19603,10,0.9784,0.9727
PPL,WEC,0.196563,11,0.98,0.932
CB,FE,0.199344,12,0.9106,0.8341
AVB,CPT,0.201943,13,0.9715,0.9472
ED,O,0.205714,14,0.95,0.8022
MRSH,ROL,0.212527,15,0.8642,0.784
CAG,GIS,0.212766,16,0.9207,0.9474
FE,O,0.217979,17,0.9521,0.7831
ATO,LNT,0.218771,18,0.9709,0.9818
DUK,EQR,0.223578,19,0.9601,1.0222
FE,KO,0.231377,20,0.9096,0.8914
