Ticker_A,Ticker_B,SSD,Rank,Pearson_Corr
CMS,XEL,0.050276,1,0.9952
AVB,UDR,0.06184,2,0.9164
CMS,WEC,0.065193,3,0.9902
DUK,XEL,0.06921,4,0.9825
ED,WEC,0.074885,5,0.9811
DUK,ED,0.086283,6,0.9828
CMS,DUK,0.08701,7,0.9797
CMS,ED,0.089086,8,0.9816
ATO,XEL,0.091193,9,0.9816
BK,NTRS,0.096722,10,0.9688
DTE,PCG,0.099235,11,0.972
AEE,DTE,0.102136,12,0.9676
AEP,ETR,0.110307,13,0.9609
AEE,PCG,0.112885,14,0.9654
JPM,TFC,0.112917,15,0.9816
APD,LIN,0.113452,16,0.9635
FITB,RJF,0.113468,17,0.9854
CMS,PNW,0.115099,18,0.9722
EXPD,UPS,0.116431,19,0.961
BRK-B,L,0.119485,20,0.934
