Ticker_A,Ticker_B,SSD,Rank,Pearson_Corr
CMS,XEL,0.027876,1,0.9776
DTE,WEC,0.034265,2,0.9832
PCG,SO,0.058915,3,0.9412
ES,EVRG,0.069957,4,0.9636
DTE,PPL,0.072459,5,0.9508
ED,PNW,0.073816,6,0.8579
KIM,REG,0.083679,7,0.9188
PPL,WEC,0.091147,8,0.9545
EL,TRV,0.092835,9,0.8815
DTE,ES,0.095362,10,0.9421
LNT,WEC,0.100338,11,0.969
KIM,MAC,0.10095,12,0.9184
PG,WM,0.103852,13,0.8634
ES,PPL,0.111362,14,0.9038
ESS,UDR,0.116594,15,0.9551
ES,WEC,0.12318,16,0.9546
KO,VZ,0.125316,17,0.6991
GIS,PEP,0.125793,18,0.7587
CMS,ES,0.130032,19,0.9587
DUK,ES,0.131037,20,0.8619
