Ticker_A,Ticker_B,SSD,Rank,Pearson_Corr
DUK,ED,0.025853,1,0.9698
CMS,XEL,0.032838,2,0.9834
ED,XEL,0.036307,3,0.9551
DUK,XEL,0.055185,4,0.9508
CMS,DUK,0.055982,5,0.9253
DUK,WEC,0.056436,6,0.9322
CMS,ED,0.057075,7,0.9282
ED,SO,0.062235,8,0.8987
AEP,XEL,0.064837,9,0.9259
DUK,SO,0.067774,10,0.9035
ED,WEC,0.070631,11,0.9203
ATO,EIX,0.072117,12,0.9234
LNT,PCG,0.072733,13,0.9425
AEP,ED,0.075551,14,0.9416
EIX,NEE,0.076471,15,0.9177
ESS,UDR,0.077071,16,0.8663
AEP,DUK,0.088416,17,0.9601
DTE,PNW,0.089543,18,0.9364
ATO,CMS,0.092028,19,0.9598
ES,PEG,0.092988,20,0.8525
