Ticker_A,Ticker_B,SSD,Rank,Pearson_Corr,Hedge_Ratio
AEE,CMS,0.084169,1,0.9376,0.9688
AEE,WEC,0.111365,2,0.944,0.9763
LNT,WEC,0.131238,3,0.896,0.7226
CMS,FE,0.139138,4,0.9305,0.8739
AEE,CNP,0.141594,5,0.9146,1.0536
MLM,VMC,0.146163,6,0.9875,1.0489
AEE,LNT,0.152642,7,0.9406,1.2106
AJG,MRSH,0.160363,8,0.9804,1.1214
CMS,LNT,0.165356,9,0.901,1.1298
ETR,SRE,0.165962,10,0.8993,1.096
EQR,ESS,0.167129,11,0.9115,0.7482
CL,KO,0.170378,12,0.8663,0.8113
DTE,EVRG,0.176071,13,0.8595,0.7137
AEE,FE,0.18648,14,0.9085,0.8795
FE,WEC,0.19576,15,0.8582,0.9275
CL,PEP,0.200748,16,0.8195,0.7571
CMS,WEC,0.200892,17,0.8608,0.8713
CTAS,WMT,0.203616,18,0.9324,1.0644
CMS,CNP,0.204552,19,0.8631,0.9714
NI,PEG,0.208591,20,0.873,0.8076
