Ticker_A,Ticker_B,SSD,Rank,Pearson_Corr,Hedge_Ratio
EIX,ES,0.081322,1,0.9462,0.9056
EVRG,WEC,0.091917,2,0.9511,1.004
ITW,MMM,0.092923,3,0.965,0.9129
BRK-B,CB,0.10266,4,0.8796,0.9895
PRU,RF,0.104897,5,0.9301,0.9011
AEP,ES,0.106933,6,0.947,0.7976
TFC,UNM,0.111523,7,0.9209,0.9649
CB,CL,0.114548,8,0.8539,0.9484
EVRG,PNW,0.122049,9,0.9745,0.9031
USB,WFC,0.1315,10,0.878,0.7409
BXP,VNO,0.132102,11,0.9652,0.9358
CMS,SPG,0.134974,12,0.9264,0.9642
KEY,NTRS,0.135033,13,0.9484,0.8751
AEE,DTE,0.13573,14,0.9389,1.0317
AEP,EIX,0.138185,15,0.8991,0.7901
DTE,SO,0.138282,16,0.9022,0.8599
WEC,XEL,0.140047,17,0.9446,1.1655
EQR,REG,0.14258,18,0.9259,0.9415
A,IVZ,0.142637,19,0.9476,0.8058
O,REG,0.145116,20,0.9344,1.0162
