Ticker_A,Ticker_B,SSD,Rank,Pearson_Corr
EVRG,WEC,0.103579,1,0.9812
ADP,PAYX,0.115177,2,0.9697
CLX,SO,0.156112,3,0.9201
LLY,WMT,0.166735,4,0.8616
CL,PG,0.167134,5,0.9639
CLX,LH,0.201771,6,0.921
D,MO,0.204533,7,0.9688
CINF,GPC,0.21528,8,0.9627
DUK,IBM,0.230459,9,0.9265
JNJ,PCG,0.232927,10,0.9235
GWW,MO,0.238953,11,0.9652
CL,PEP,0.239176,12,0.9195
ES,EVRG,0.240195,13,0.976
AEE,T,0.247534,14,0.8453
EVRG,MO,0.251728,15,0.9653
EVRG,XEL,0.257846,16,0.9726
ATO,IBM,0.259385,17,0.9148
MO,WEC,0.259447,18,0.9694
LH,SO,0.260385,19,0.9042
GPC,ROL,0.269546,20,0.9536
