Ticker_A,Ticker_B,SSD,Rank,Pearson_Corr
CMS,SRE,0.045668,1,0.9825
DUK,LNT,0.046474,2,0.9846
DUK,ED,0.049077,3,0.9928
AEP,CMS,0.051597,4,0.991
ED,LNT,0.060873,5,0.9806
AEP,ED,0.064668,6,0.9918
PNC,UNM,0.072047,7,0.9852
NI,XEL,0.08053,8,0.985
DTE,PNW,0.080683,9,0.9751
ES,PNW,0.081254,10,0.9908
DUK,WEC,0.087169,11,0.9714
CCI,NI,0.088812,12,0.9813
DTE,ES,0.089224,13,0.9754
CCI,XEL,0.09178,14,0.9859
CMS,ED,0.094098,15,0.9902
PPL,SRE,0.095096,16,0.9672
LNT,WEC,0.096086,17,0.9883
CMS,ES,0.096148,18,0.9916
ES,PPL,0.097978,19,0.974
ETR,LNT,0.099183,20,0.962
