Ticker_A,Ticker_B,SSD,Rank,Pearson_Corr,Hedge_Ratio
AVB,ESS,0.037568,1,0.9644,0.9636
D,XEL,0.065105,2,0.9329,0.816
ESS,MAA,0.066091,3,0.955,0.9296
BDX,SYK,0.080736,4,0.8046,0.7549
DUK,XEL,0.081048,5,0.8867,0.8212
AVB,MAA,0.082194,6,0.9592,0.9347
SO,XEL,0.084729,7,0.8916,0.708
AEE,ED,0.085033,8,0.9159,0.9151
CMS,DTE,0.090316,9,0.9647,0.8847
D,PEG,0.097837,10,0.9057,0.801
D,DUK,0.100485,11,0.8632,0.822
DTE,ES,0.10895,12,0.9628,1.084
EVRG,LNT,0.113125,13,0.8622,1.0363
AEE,PEG,0.119453,14,0.8439,0.8926
DUK,SO,0.12101,15,0.7994,0.9237
CMS,ES,0.124885,16,0.9262,0.9534
HSY,KMB,0.128777,17,0.9679,0.9854
ED,SO,0.130938,18,0.9511,1.2553
ED,PEG,0.132276,19,0.8414,0.8956
D,SO,0.137089,20,0.8079,0.8838
