Ticker_A,Ticker_B,SSD,Rank,Pearson_Corr,Hedge_Ratio
AEE,DUK,0.076257,1,0.9579,1.0098
CMS,DTE,0.088687,2,0.9773,0.9389
ES,EVRG,0.090746,3,0.9251,0.8883
AEE,CMS,0.092314,4,0.9695,0.8028
CPT,MAA,0.102684,5,0.9818,1.0208
CMS,D,0.105639,6,0.9554,1.0772
AEE,D,0.105758,7,0.9378,0.8786
AEE,WEC,0.114161,8,0.9567,0.9271
DUK,JNJ,0.129068,9,0.9288,1.0888
PEP,PG,0.129712,10,0.9497,0.8656
JNJ,LNT,0.132712,11,0.8713,0.857
ETR,SO,0.133269,12,0.9618,0.8532
D,DTE,0.133489,13,0.9628,0.8179
AEP,SO,0.143788,14,0.9609,0.9942
DTE,DUK,0.152548,15,0.9614,1.2696
CMS,DUK,0.154609,16,0.9553,1.2126
FRT,REG,0.157368,17,0.9078,0.8059
AEP,DTE,0.157919,18,0.979,1.1353
AEE,ETR,0.158104,19,0.968,0.7773
D,DUK,0.160505,20,0.9141,1.0251
