Ticker_A,Ticker_B,SSD,Rank,Pearson_Corr
JNJ,WMT,0.119523,1,0.8345
ACGL,MKC,0.126304,2,0.946
PPG,ROP,0.130585,3,0.9741
BXP,SPG,0.135926,4,0.9863
ES,PNW,0.138372,5,0.9772
ED,SO,0.14104,6,0.967
EIX,IBM,0.145023,7,0.8111
D,EVRG,0.145862,8,0.9719
ACGL,BALL,0.158855,9,0.9485
MMM,WM,0.163206,10,0.8947
ES,EVRG,0.165368,11,0.9722
EVRG,WEC,0.17653,12,0.9734
ALL,HSIC,0.177754,13,0.9051
ADP,WMT,0.181332,14,0.7278
AMGN,JNJ,0.182779,15,0.7989
ES,WEC,0.184302,16,0.9708
FRT,SPG,0.188105,17,0.9813
CLX,PEP,0.190781,18,0.8613
ACGL,HRL,0.192474,19,0.9462
IBM,LH,0.19335,20,0.7275
