Ticker_A,Ticker_B,SSD,Rank,Pearson_Corr,Hedge_Ratio
AEE,XEL,0.078941,1,0.9896,0.9513
WEC,XEL,0.079944,2,0.9928,1.0637
CMS,WEC,0.081449,3,0.9942,1.0167
AEP,ED,0.086737,4,0.9866,0.9433
PNC,WFC,0.091627,5,0.9343,0.8749
BRK-B,ORCL,0.103432,6,0.9394,0.818
AON,BRO,0.11687,7,0.9856,1.1342
PCG,PNW,0.124568,8,0.9868,0.8776
CL,PEP,0.12639,9,0.9684,1.1686
AEP,SO,0.126765,10,0.9847,1.1343
ETR,XEL,0.127945,11,0.988,0.9577
PNW,XEL,0.130004,12,0.9897,1.0514
AEP,DTE,0.133748,13,0.9751,1.0219
ETR,PNW,0.134494,14,0.9843,0.8977
CMS,XEL,0.135736,15,0.9982,1.0951
AON,LEG,0.15262,16,0.9713,0.8796
JPM,USB,0.153377,17,0.9529,1.3915
AEP,NEE,0.155165,18,0.9901,0.8607
LIN,UPS,0.160432,19,0.9398,1.0601
NTRS,PRU,0.161811,20,0.9361,0.8497
