Ticker_A,Ticker_B,SSD,Rank,Pearson_Corr
AVB,UDR,0.075604,1,0.9783
JPM,PNC,0.084033,2,0.9664
EQR,ESS,0.099517,3,0.9873
AIV,UDR,0.101705,4,0.972
AVB,CPT,0.112756,5,0.9907
AIV,AVB,0.112934,6,0.9711
GL,JPM,0.120682,7,0.9527
CMS,ESS,0.122672,8,0.982
GL,PNC,0.129441,9,0.9471
AEE,ED,0.136813,10,0.9612
ES,NEE,0.138807,11,0.9891
CMS,FE,0.149123,12,0.9856
MAA,NEE,0.152319,13,0.9888
AEP,CMS,0.15639,14,0.9758
AEE,AVB,0.158258,15,0.9509
EQR,ES,0.160398,16,0.9766
CMS,EQR,0.16182,17,0.9799
ATO,LNT,0.162522,18,0.9892
ATO,DTE,0.16578,19,0.9429
ETR,SO,0.169295,20,0.9862
