Ticker_A,Ticker_B,SSD,Rank,Pearson_Corr,Hedge_Ratio
CMS,DTE,0.058568,1,0.9808,0.9293
AVB,UDR,0.071694,2,0.9793,0.9661
CPT,MAA,0.09117,3,0.9798,1.02
DUK,WEC,0.091565,4,0.952,0.8469
ES,EVRG,0.097109,5,0.9227,0.8531
AEE,CMS,0.10552,6,0.9693,0.8055
AEE,PEG,0.121529,7,0.935,0.8718
DHI,LEN,0.124295,8,0.9861,0.9493
CMS,ETR,0.129076,9,0.9568,0.9082
MLM,VMC,0.131153,10,0.9805,1.0592
AEE,ETR,0.135645,11,0.9637,0.761
AEP,DTE,0.148554,12,0.9794,1.1532
D,DUK,0.158549,13,0.9115,1.0204
AEP,CMS,0.165195,14,0.9739,1.207
AVB,EQR,0.169514,15,0.986,1.1003
CMS,D,0.177755,16,0.9562,1.0687
AEE,DTE,0.177863,17,0.9465,0.7441
DTE,ETR,0.19461,18,0.9292,0.9267
CMS,WEC,0.203406,19,0.9474,1.0599
AME,ITW,0.208241,20,0.9139,0.8366
