Ticker_A,Ticker_B,SSD,Rank,Pearson_Corr
ED,SO,0.046415,1,0.9824
DUK,XEL,0.067444,2,0.9782
ED,PNW,0.068132,3,0.9833
PNW,WEC,0.071972,4,0.9767
ED,WEC,0.077479,5,0.9805
SO,WEC,0.081418,6,0.9846
EVRG,XEL,0.105713,7,0.97
PNW,SO,0.11097,8,0.9709
AJG,CINF,0.11516,9,0.9845
FRT,VNO,0.119321,10,0.9646
LNT,PNW,0.122635,11,0.9638
DUK,O,0.125496,12,0.9503
ECL,PEP,0.129667,13,0.8162
KMB,NEE,0.131223,14,0.8877
DUK,SRE,0.134526,15,0.9238
ED,LNT,0.134849,16,0.9645
AVB,UDR,0.135099,17,0.9688
O,XEL,0.138639,18,0.9527
D,NEE,0.138876,19,0.9251
ED,O,0.148802,20,0.9484
