Ticker_A,Ticker_B,SSD,Rank,Pearson_Corr,Hedge_Ratio
D,XEL,0.069333,1,0.9094,0.8106
PEG,XEL,0.071169,2,0.9021,0.8883
ED,SO,0.073257,3,0.9498,1.2953
BXP,SLG,0.100601,4,0.8733,0.8554
AVB,EQR,0.101649,5,0.8891,0.7478
D,LNT,0.104216,6,0.8618,0.8503
D,PEG,0.114355,7,0.8367,0.7583
AEE,SO,0.115366,8,0.8557,1.1303
LNT,XEL,0.115657,9,0.8396,0.7593
ADP,PAYX,0.122845,10,0.8988,0.923
ADP,XOM,0.124656,11,0.8955,0.9574
DOC,VTR,0.128386,12,0.9879,1.008
BDX,SYK,0.128452,13,0.9147,0.7184
FRT,PNW,0.131541,14,0.9257,0.8136
BRK-B,JNJ,0.13233,15,0.9421,1.0087
CLX,JNJ,0.132425,16,0.9245,0.8407
ATO,PNW,0.133673,17,0.9728,1.1999
CL,NEE,0.136785,18,0.9557,0.8189
L,TDY,0.141444,19,0.8554,0.7056
ADP,MDLZ,0.141744,20,0.8556,0.9513
