Ticker_A,Ticker_B,SSD,Rank,Pearson_Corr
AEE,DTE,0.047961,1,0.9873
JPM,PNC,0.083287,2,0.9484
ETR,WEC,0.090544,3,0.9934
EQR,ESS,0.09565,4,0.9887
AEP,XEL,0.097617,5,0.9907
AVB,UDR,0.100143,6,0.9807
AEE,AVB,0.100539,7,0.97
AIV,UDR,0.103944,8,0.97
AEE,NI,0.105362,9,0.97
CMS,FE,0.112141,10,0.9854
ES,XEL,0.114258,11,0.9848
AVB,DTE,0.119074,12,0.9723
BRO,FIS,0.122035,13,0.9822
CMS,NEE,0.124864,14,0.9934
DTE,NI,0.130271,15,0.9599
ESS,XEL,0.136098,16,0.9798
EQR,ES,0.145483,17,0.976
MAA,NEE,0.146044,18,0.9874
MDLZ,WM,0.150549,19,0.9822
GL,USB,0.150857,20,0.9061
