Ticker_A,Ticker_B,SSD,Rank,Pearson_Corr,Hedge_Ratio
ESS,UDR,0.11789,1,0.9923,1.0008
D,WEC,0.136031,2,0.9248,0.7453
WEC,XEL,0.143577,3,0.9094,0.9123
D,XEL,0.178372,4,0.9012,0.7279
AON,WTW,0.191893,5,0.9772,0.9526
CMS,ED,0.204009,6,0.8883,0.779
IEX,MDT,0.211,7,0.9698,0.9863
ED,ETR,0.215117,8,0.8782,0.786
CPT,MAA,0.240515,9,0.9927,0.9894
DUK,PEG,0.256328,10,0.9581,1.2097
EXC,SO,0.260696,11,0.947,1.0502
EQR,UDR,0.266687,12,0.991,1.0712
CPB,GIS,0.26765,13,0.6826,0.6116
D,ED,0.270132,14,0.8366,0.681
FISV,GPN,0.271478,15,0.9476,0.9395
DUK,SO,0.277164,16,0.9501,1.0251
AFL,L,0.280219,17,0.9917,0.9337
RSG,WM,0.281145,18,0.9788,0.8215
AEE,LNT,0.282088,19,0.9559,0.8097
LHX,WM,0.283031,20,0.961,0.9177
