Ticker_A,Ticker_B,SSD,Rank,Pearson_Corr,Hedge_Ratio
EQR,ESS,0.115612,1,0.9828,0.9032
CMS,LNT,0.118731,2,0.9655,0.8629
CPT,UDR,0.122543,3,0.9857,1.0526
FRT,REG,0.128937,4,0.9923,1.0337
C,KEY,0.132084,5,0.9924,0.9464
AVB,UDR,0.17764,6,0.9841,1.1368
EVRG,LNT,0.190991,7,0.9565,1.0254
RF,TFC,0.193381,8,0.9876,1.0542
AJG,AON,0.203321,9,0.9507,0.9112
CMS,XEL,0.205864,10,0.9107,0.9871
HON,PAYX,0.215245,11,0.9507,0.9114
EQR,UDR,0.22018,12,0.9748,1.0449
KEY,RF,0.220445,13,0.9884,1.0521
ES,WEC,0.220536,14,0.9456,1.0071
AMT,CCI,0.221952,15,0.957,0.8215
CPT,EQR,0.232521,16,0.9596,0.9654
CSX,NSC,0.238309,17,0.962,0.8647
ARE,D,0.241171,18,0.906,0.9815
HBAN,RF,0.242804,19,0.9876,1.0024
ATO,PEP,0.245983,20,0.8617,0.9799
