Ticker_A,Ticker_B,SSD,Rank,Pearson_Corr,Hedge_Ratio
CMS,LNT,0.121952,1,0.9575,0.8273
RF,TFC,0.17582,2,0.991,1.0543
CSX,NSC,0.181227,3,0.9647,0.8285
CPT,UDR,0.19737,4,0.9727,0.9435
C,KEY,0.203912,5,0.9927,0.9267
EVRG,LNT,0.208825,6,0.9333,0.99
AIV,AVB,0.216385,7,0.9877,1.1729
AEP,KO,0.219466,8,0.9483,0.7963
AEP,ATO,0.225867,9,0.9412,1.1957
ESS,UDR,0.227907,10,0.9796,1.1308
HON,PAYX,0.228658,11,0.9568,0.9599
ES,WEC,0.231413,12,0.9046,1.0364
AMT,CCI,0.240847,13,0.9657,0.8177
HBAN,USB,0.259969,14,0.9904,1.0553
ATO,DUK,0.262844,15,0.8893,0.7972
NI,PNW,0.263692,16,0.9523,0.8025
AEP,RSG,0.268018,17,0.9035,0.9792
AEE,ATO,0.270472,18,0.8474,0.7601
DHR,TMO,0.271205,19,0.9373,0.9612
AME,APH,0.276796,20,0.9601,0.9179
