Ticker_A,Ticker_B,SSD,Rank,Pearson_Corr
CMS,XEL,0.043733,1,0.9793
LNT,PNW,0.063177,2,0.9755
CMS,WEC,0.075877,3,0.9828
DUK,SO,0.076566,4,0.982
ABT,DTE,0.079391,5,0.9583
DTE,WEC,0.080571,6,0.9721
WEC,XEL,0.089194,7,0.9757
CMS,EVRG,0.105011,8,0.9656
ADP,LIN,0.107818,9,0.921
EVRG,XEL,0.112862,10,0.9491
VTR,WELL,0.113948,11,0.9571
ED,SO,0.120825,12,0.9847
KMB,XEL,0.127903,13,0.9339
CMS,PNW,0.128782,14,0.9794
LNT,NEE,0.131987,15,0.9091
AEE,DUK,0.133913,16,0.963
APD,HSIC,0.140004,17,0.9231
CMS,WMT,0.142999,18,0.9487
PNW,XEL,0.143321,19,0.9685
GD,OMC,0.144506,20,0.9489
