Ticker_A,Ticker_B,SSD,Rank,Pearson_Corr,Hedge_Ratio
ES,WEC,0.052237,1,0.9871,0.9498
AEP,LNT,0.073859,2,0.9794,0.9311
FRT,SPG,0.076773,3,0.9743,1.0579
ATO,NEE,0.077455,4,0.9636,1.098
FITB,RF,0.078214,5,0.9366,0.9341
AIV,AVB,0.081275,6,0.9793,1.0093
AEE,LNT,0.09194,7,0.9577,0.9375
EQR,REG,0.092845,8,0.9804,0.9814
CL,TROW,0.098182,9,0.818,0.8005
O,VNO,0.098506,10,0.9732,1.0648
AVB,EQR,0.098767,11,0.986,0.8472
AME,GL,0.102318,12,0.8623,0.7991
EG,PGR,0.102899,13,0.9447,0.9359
FRT,SLG,0.108517,14,0.9707,0.8802
MTB,PFG,0.111896,15,0.7779,0.7603
MET,RF,0.112119,16,0.9058,0.9058
AEE,AEP,0.112527,17,0.9572,0.9842
ES,XEL,0.112677,18,0.9748,1.1285
CINF,ITW,0.113157,19,0.9484,0.818
KIM,O,0.115569,20,0.9686,0.9135
