Ticker_A,Ticker_B,SSD,Hedge_Ratio,Rank,Mean_A,Std_A,Mean_B,Std_B
CPT,MAA,2.868487,0.9943,1,124.83859843299503,18.427957962702273,157.44051457965185,21.71240918204504
AVB,EQR,3.944858,0.9921,2,191.0180407327319,19.19982301060895,68.86613705044701,5.43357298172829
AVB,UDR,5.358787,0.9893,3,191.0180407327319,19.19982301060895,43.86963617234003,4.318203529657986
MAA,UDR,5.994124,0.988,4,157.44051457965185,21.71240918204504,43.86963617234003,4.318203529657986
AVB,MAA,6.323309,0.9873,5,191.0180407327319,19.19982301060895,157.44051457965185,21.71240918204504
EQR,UDR,7.940342,0.9841,6,68.86613705044701,5.43357298172829,43.86963617234003,4.318203529657986
AVB,CPT,8.316562,0.9833,7,191.0180407327319,19.19982301060895,124.83859843299503,18.427957962702273
MRSH,RSG,8.669139,0.9826,8,139.34658846779476,15.12194638028137,112.65265767536467,11.9086191937344
COP,DVN,8.857835,0.9822,9,55.86665158044724,11.026476125901866,27.637985327887158,8.745798751011897
CPT,UDR,8.863348,0.9822,10,124.83859843299503,18.427957962702273,43.86963617234003,4.318203529657986
DHR,WST,8.95176,0.982,11,245.88752377222454,29.139601912532978,379.68175670078824,55.344104048178735
CMA,FITB,9.084612,0.9817,12,64.79337130652533,8.357060547146988,35.06546853837513,3.365664583239022
FRT,REG,10.370495,0.9791,13,99.04834477863615,7.626796763886076,56.14235709962391,4.7748234373114995
FITB,KEY,10.408255,0.979,14,35.06546853837513,3.365664583239022,17.7083226612636,1.7435578228191166
RSG,WM,12.092635,0.9756,15,112.65265767536467,11.9086191937344,137.87234630281964,11.371603702294221
EQR,MAA,12.28151,0.9752,16,68.86613705044701,5.43357298172829,157.44051457965185,21.71240918204504
MLM,VMC,12.669622,0.9744,17,364.16780744280135,29.603409584435056,176.9785661243257,11.45329597101492
COST,PLD,12.695783,0.9744,18,424.6545589386471,65.69370098862107,116.99471183050247,16.180104589280862
ESS,UDR,12.849456,0.9741,19,271.1712389749194,20.97971735840831,43.86963617234003,4.318203529657986
MRSH,WM,12.931054,0.9739,20,139.34658846779476,15.12194638028137,137.87234630281964,11.371603702294221
