Ticker_A,Ticker_B,SSD,Hedge_Ratio,Rank,Mean_A,Std_A,Mean_B,Std_B
FRT,REG,2.655405,0.9947,1,82.57485730307442,19.29239930119379,42.15344334405566,8.82532960936717
CMA,HBAN,2.900843,0.9942,2,38.20969843485999,11.332723060994892,8.846519771076384,2.0187404665464084
FITB,RF,3.102618,0.9938,3,18.786097409233214,4.228735076843902,10.42356600647881,2.226236350530241
FITB,TFC,3.518827,0.993,4,18.786097409233214,4.228735076843902,33.881739979698544,6.812228414293775
C,KEY,3.574354,0.9929,5,49.58725657538762,10.769188278950256,11.327806325185866,2.6600664330564374
BAC,JPM,3.649199,0.9927,6,24.135604233968827,3.988026343876253,95.45755001855275,14.725842613534752
CMA,USB,3.805974,0.9924,7,38.20969843485999,11.332723060994892,35.64753813970657,7.82212593741924
RF,TFC,3.932377,0.9921,8,10.42356600647881,2.226236350530241,33.881739979698544,6.812228414293775
HBAN,USB,4.339103,0.9913,9,8.846519771076384,2.0187404665464084,35.64753813970657,7.82212593741924
HBAN,RF,4.522094,0.991,10,8.846519771076384,2.0187404665464084,10.42356600647881,2.226236350530241
MAC,SPG,4.642403,0.9907,11,12.95549868402027,6.8433333828874225,75.57547878083729,29.294186191836975
FRT,SPG,4.776561,0.9904,12,82.57485730307442,19.29239930119379,75.57547878083729,29.294186191836975
KEY,RF,4.812591,0.9904,13,11.327806325185866,2.6600664330564374,10.42356600647881,2.226236350530241
COF,KEY,5.125173,0.9897,14,72.04478839087108,16.491376880629268,11.327806325185866,2.6600664330564374
FITB,KEY,5.185716,0.9896,15,18.786097409233214,4.228735076843902,11.327806325185866,2.6600664330564374
FHN,HBAN,5.30865,0.9894,16,10.122824591303628,2.747560165295197,8.846519771076384,2.0187404665464084
KEY,TFC,5.314427,0.9894,17,11.327806325185866,2.6600664330564374,33.881739979698544,6.812228414293775
PRU,TFC,5.316789,0.9894,18,55.50156852934096,11.599103288442663,33.881739979698544,6.812228414293775
AVB,UDR,5.391872,0.9892,19,151.52303523109072,23.334121236739463,33.79846718197777,4.4661848810139295
BXP,SLG,5.497956,0.989,20,84.82619396088616,16.74246346739128,45.99040742904421,12.895464216790819
