Ticker_A,Ticker_B,SSD,Rank,Pearson_Corr,Hedge_Ratio
D,EVRG,0.039971,1,0.9873,0.9244
EVRG,PNW,0.054857,2,0.9851,1.0639
D,PNW,0.064559,3,0.9796,0.9906
DUK,WEC,0.083006,4,0.9675,0.8644
DTE,ES,0.116813,5,0.9904,1.1701
EVRG,LNT,0.117522,6,0.9691,0.887
KO,MO,0.123251,7,0.917,0.8557
CPT,VNO,0.130967,8,0.898,0.8255
CLX,PFE,0.132562,9,0.9718,0.9543
KO,XEL,0.13411,10,0.9174,0.9103
CPT,MAA,0.136055,11,0.8921,0.889
MAC,REG,0.136278,12,0.9575,1.0154
AVB,EQR,0.136583,13,0.8165,0.8911
HUBB,MMM,0.136788,14,0.9761,1.001
CTAS,L,0.140208,15,0.9252,1.0818
D,LNT,0.141916,16,0.9686,0.8308
CMS,DTE,0.142647,17,0.9904,1.1193
PNW,WEC,0.143052,18,0.9818,0.9749
LNT,PNW,0.147682,19,0.9617,1.1315
CL,ES,0.149313,20,0.9433,0.8367
