Ticker_A,Ticker_B,SSD,Rank,Pearson_Corr
AVB,ESS,0.032916,1,0.965
AVB,MAA,0.047691,2,0.9598
ESS,MAA,0.051733,3,0.9554
AEE,ED,0.070636,4,0.9164
D,XEL,0.070802,5,0.9344
D,PEG,0.077897,6,0.9072
DUK,XEL,0.08158,7,0.8867
CMS,DTE,0.103932,8,0.9649
SO,XEL,0.10536,9,0.8927
EVRG,LNT,0.111752,10,0.8619
D,DUK,0.117529,11,0.8634
AEE,PEG,0.118503,12,0.8446
ED,PEG,0.119678,13,0.8438
BRK-B,MMM,0.124157,14,0.9154
DUK,SO,0.130934,15,0.8016
PEG,XEL,0.134288,16,0.9167
EIX,NI,0.139413,17,0.9146
BXP,MDLZ,0.144341,18,0.8483
BRK-B,CLX,0.147536,19,0.8804
MMM,PAYX,0.149735,20,0.8668
