Ticker_A,Ticker_B,SSD,Rank,Pearson_Corr,Hedge_Ratio
CMS,FE,0.072874,1,0.945,1.0051
CMS,PPL,0.08702,2,0.9385,0.795
CPT,UDR,0.097929,3,0.9668,0.9058
CMS,DTE,0.102831,4,0.9425,0.8115
NI,SO,0.103059,5,0.8529,0.8883
CMS,NI,0.104263,6,0.8848,0.9577
FE,NI,0.113454,7,0.8406,0.8558
CMS,SO,0.11379,8,0.8512,0.9652
CMS,KO,0.116432,9,0.8509,0.9313
ED,LNT,0.116971,10,0.7317,0.6885
DTE,FE,0.117851,11,0.8863,1.0916
CNP,NI,0.119162,12,0.8155,0.6583
FE,SO,0.125627,13,0.833,0.8896
EIX,NI,0.126361,14,0.8649,1.0005
CNP,SRE,0.126471,15,0.7752,0.8082
ETR,PPL,0.127585,16,0.924,0.9287
SO,SRE,0.136797,17,0.7642,0.9601
ETR,SO,0.142319,18,0.8779,1.1791
CNP,FE,0.14645,19,0.7675,0.6058
ED,SRE,0.151927,20,0.7867,0.7991
