Ticker_A,Ticker_B,SSD,Rank,Pearson_Corr
AEP,LNT,0.051983,1,0.9808
FITB,RF,0.053745,2,0.9409
ATO,NEE,0.075376,3,0.9631
EVRG,LNT,0.082075,4,0.9666
AEE,DTE,0.085094,5,0.9626
T,VZ,0.086866,6,0.7419
ES,XEL,0.093004,7,0.9804
AIG,GL,0.095008,8,0.9254
EIX,XEL,0.096893,9,0.9682
ACGL,MKC,0.097255,10,0.9333
GL,TFC,0.097901,11,0.836
AFL,GL,0.098675,12,0.8652
KIM,SPG,0.100611,13,0.9715
KIM,VTR,0.103019,14,0.9742
AME,IEX,0.10421,15,0.802
ES,WEC,0.104636,16,0.9885
BRK-B,WRB,0.105042,17,0.9369
AIV,AVB,0.106394,18,0.9854
FITB,ZION,0.106515,19,0.9095
CMS,PCG,0.109867,20,0.9786
