Ticker_A,Ticker_B,SSD,Rank,Pearson_Corr
AEP,XEL,0.025101,1,0.9936
AEP,DUK,0.033565,2,0.9893
WEC,XEL,0.035751,3,0.9898
AEP,WEC,0.049562,4,0.985
DUK,XEL,0.07423,5,0.9811
CPT,MAA,0.075289,6,0.982
ETR,NEE,0.075804,7,0.9685
AIV,AVB,0.092901,8,0.9699
DUK,WEC,0.096258,9,0.9723
LNT,NEE,0.104086,10,0.9459
EQR,UDR,0.111794,11,0.977
DTE,WEC,0.115887,12,0.9759
AEP,DTE,0.116066,13,0.9683
FRT,MAA,0.127622,14,0.9538
AEE,EXC,0.132772,15,0.9769
CB,TRV,0.135875,16,0.8148
AVB,MAA,0.138768,17,0.9457
DTE,XEL,0.139065,18,0.9732
DTE,DUK,0.141887,19,0.9513
AVB,RSG,0.145015,20,0.9485
