Ticker_A,Ticker_B,SSD,Rank,Pearson_Corr,Hedge_Ratio
DHI,LEN,0.062726,1,0.9878,1.021
CPT,UDR,0.082172,2,0.9895,1.0076
WEC,XEL,0.088184,3,0.9646,0.9658
CMS,DUK,0.094261,4,0.9872,1.0903
RSG,WM,0.102523,5,0.9694,0.951
CSX,NSC,0.106313,6,0.9655,1.0048
MCO,SPGI,0.115876,7,0.9853,1.0296
ETN,ITW,0.129807,8,0.9528,0.9135
AVB,EQR,0.133926,9,0.9961,1.0626
HD,NVR,0.136465,10,0.9676,0.9124
MAA,UDR,0.14527,11,0.9847,0.8723
CDNS,SNPS,0.160015,12,0.9466,0.9522
ES,EVRG,0.160483,13,0.9278,0.9541
FITB,KEY,0.161014,14,0.9872,0.8757
ESS,UDR,0.164919,15,0.9846,1.1247
NTRS,USB,0.168053,16,0.971,1.0596
DUK,XEL,0.171934,17,0.9269,0.9887
AEE,DUK,0.180932,18,0.9622,0.8502
CPT,MAA,0.191633,19,0.9851,1.1277
ITW,PH,0.193939,20,0.9555,1.011
