Ticker_A,Ticker_B,SSD,Rank,Pearson_Corr
CMS,WEC,0.03516,1,0.9337
ES,XEL,0.058732,2,0.8917
ED,PNW,0.069271,3,0.9111
CMS,DTE,0.076625,4,0.9291
EVRG,WEC,0.076736,5,0.9098
DTE,WEC,0.079605,6,0.9383
ES,WEC,0.083606,7,0.9285
PPL,WEC,0.092155,8,0.8717
CMS,XEL,0.096325,9,0.9438
ALL,CB,0.0964,10,0.9431
DUK,ES,0.100175,11,0.8179
DTE,PEG,0.101661,12,0.8709
ES,PPL,0.10661,13,0.7821
CMS,ES,0.107978,14,0.9051
CMS,PEG,0.110934,15,0.855
PEG,WEC,0.112375,16,0.8623
FRT,PLD,0.113439,17,0.9043
CMS,EVRG,0.115373,18,0.8415
AIV,CPT,0.115765,19,0.9467
MAC,SPG,0.116363,20,0.9385
