Ticker_A,Ticker_B,SSD,Hedge_Ratio,Rank,Mean_A,Std_A,Mean_B,Std_B
FHN,FITB,1.838438,0.9963,1,11.542611398394145,3.1120039959145798,24.686491784595308,6.8616892501816436
FHN,KEY,2.144033,0.9957,2,11.542611398394145,3.1120039959145798,13.178848417978438,3.2223063649994166
CMA,KEY,2.246963,0.9955,3,44.93587689172654,12.087152310542848,13.178848417978438,3.2223063649994166
RF,TFC,2.455638,0.9951,4,13.515798746593415,3.6203044411524727,38.506577514466784,7.174743161058974
MTB,ZION,2.467931,0.9951,5,109.9211065504286,21.222951242053586,36.97910224823725,9.089416038389391
JPM,KEY,2.558637,0.9949,6,112.0923641447037,22.72559442663135,13.178848417978438,3.2223063649994166
CMA,RF,2.607071,0.9948,7,44.93587689172654,12.087152310542848,13.515798746593415,3.6203044411524727
CMA,FHN,2.621929,0.9948,8,44.93587689172654,12.087152310542848,11.542611398394145,3.1120039959145798
KEY,PNC,2.741977,0.9945,9,13.178848417978438,3.2223063649994166,122.15391195388068,28.400130746956012
KEY,RF,3.057712,0.9939,10,13.178848417978438,3.2223063649994166,13.515798746593415,3.6203044411524727
FHN,RF,3.144608,0.9937,11,11.542611398394145,3.1120039959145798,13.515798746593415,3.6203044411524727
PNC,SCHW,3.211663,0.9936,12,122.15391195388068,28.400130746956012,49.39866805455041,13.68169659566929
CMA,PNC,3.253341,0.9935,13,44.93587689172654,12.087152310542848,122.15391195388068,28.400130746956012
FHN,JPM,3.253451,0.9935,14,11.542611398394145,3.1120039959145798,112.0923641447037,22.72559442663135
FRT,REG,3.265298,0.9935,15,75.22016149853903,13.221383175212534,40.7223734023079,8.367388923148903
FHN,PNC,3.308502,0.9934,16,11.542611398394145,3.1120039959145798,122.15391195388068,28.400130746956012
FHN,RJF,3.396874,0.9932,17,11.542611398394145,3.1120039959145798,62.163865573822505,14.772072824941027
CMA,FITB,3.414454,0.9932,18,44.93587689172654,12.087152310542848,24.686491784595308,6.8616892501816436
JPM,ZION,3.506026,0.993,19,112.0923641447037,22.72559442663135,36.97910224823725,9.089416038389391
CMA,JPM,3.527448,0.9929,20,44.93587689172654,12.087152310542848,112.0923641447037,22.72559442663135
