Ticker_A,Ticker_B,SSD,Rank,Pearson_Corr,Hedge_Ratio
AEP,XEL,0.05865,1,0.9601,0.9479
AEP,DUK,0.07377,2,0.9534,0.9728
WEC,XEL,0.080484,3,0.9488,0.8357
DUK,XEL,0.081883,4,0.9471,0.9153
AEE,CNP,0.084949,5,0.9434,0.9928
DTE,LNT,0.085595,6,0.9579,1.0073
CMS,EVRG,0.091422,7,0.924,0.9926
AEP,WEC,0.09871,8,0.9352,1.0457
EXC,NI,0.099132,9,0.9295,0.9829
CMS,DUK,0.106091,10,0.9235,0.8807
CMS,LNT,0.114583,11,0.9331,0.9077
CMS,WEC,0.118055,12,0.907,0.9497
AEP,ETR,0.11861,13,0.9274,1.0196
DUK,WEC,0.118752,14,0.91,0.9994
EVRG,LNT,0.119015,15,0.9281,0.8308
AEE,EXC,0.120791,16,0.9002,0.8336
EVRG,WEC,0.12771,17,0.8926,0.86
BRK-B,CTAS,0.128454,18,0.9582,0.9817
BF-B,PAYX,0.133277,19,0.9038,0.8237
LNT,WEC,0.140346,20,0.9356,1.0055
