Ticker_A,Ticker_B,SSD,Rank,Pearson_Corr,Hedge_Ratio
PNW,WEC,0.07612,1,0.9303,1.0749
ED,SO,0.083208,2,0.9849,1.2052
AEE,XEL,0.095681,3,0.9143,1.1279
WEC,XEL,0.110028,4,0.9327,1.0469
DTE,LNT,0.114803,5,0.9354,1.0826
DUK,SO,0.11723,6,0.9646,0.9243
GIS,XEL,0.124522,7,0.8692,1.0792
EVRG,PNW,0.126662,8,0.9379,0.8287
PG,WMT,0.128122,9,0.7498,0.7177
PNW,XEL,0.13885,10,0.9254,1.2054
EVRG,LNT,0.139034,11,0.9083,0.7553
DUK,WEC,0.142233,12,0.9219,1.2463
MAA,UDR,0.142725,13,0.9348,0.8953
CMS,EVRG,0.142786,14,0.9367,1.0351
CL,ED,0.147919,15,0.9532,0.94
PSA,SPG,0.148647,16,0.9596,0.9322
CMS,LNT,0.150965,17,0.887,0.8157
AEP,PEG,0.152369,18,0.858,0.9711
EVRG,WEC,0.154265,19,0.8767,0.8943
KMB,SO,0.159034,20,0.92,0.8571
