Ticker_A,Ticker_B,SSD,Rank,Pearson_Corr
CMS,XEL,0.039886,1,0.9844
DTE,LNT,0.06071,2,0.9783
DTE,WEC,0.072277,3,0.9721
CMS,ES,0.074563,4,0.9736
ES,XEL,0.094154,5,0.9822
DTE,PPL,0.09604,6,0.9641
ED,PNW,0.099521,7,0.8499
LNT,PPL,0.102504,8,0.9614
MAA,SPG,0.103113,9,0.9581
EQR,UDR,0.105623,10,0.9685
EVRG,LNT,0.105886,11,0.9655
KIM,REG,0.118764,12,0.9318
ESS,MAA,0.119136,13,0.9782
MAA,UDR,0.120925,14,0.9732
LNT,WEC,0.120956,15,0.9548
KO,MCD,0.12321,16,0.7926
BDX,HON,0.125214,17,0.9628
HIG,UNM,0.135758,18,0.9374
DHR,HSIC,0.136045,19,0.9319
FRT,SLG,0.136836,20,0.9686
