Ticker_A,Ticker_B,SSD,Rank,Pearson_Corr,Hedge_Ratio
ED,XEL,0.050889,1,0.9841,1.0035
AEE,CNP,0.098625,2,0.972,0.9558
ED,LNT,0.122634,3,0.9591,0.918
DUK,PNW,0.128224,4,0.9664,0.776
LLY,PEP,0.130801,5,0.7314,1.0238
CNP,XEL,0.131079,6,0.9773,1.1907
LNT,XEL,0.132567,7,0.9515,1.0196
EMR,IEX,0.144061,8,0.9893,0.876
PCG,XEL,0.148112,9,0.9454,0.8738
AJG,JKHY,0.148568,10,0.9802,0.882
DTE,PEG,0.150081,11,0.8152,0.5507
D,FRT,0.150714,12,0.9225,0.8027
DIS,WTW,0.154262,13,0.9624,0.9966
CLX,KMB,0.15694,14,0.8142,0.6938
ED,EVRG,0.157027,15,0.9775,0.9029
APH,IEX,0.163812,16,0.9787,0.9751
D,NEE,0.165813,17,0.9033,0.8203
EVRG,WEC,0.166217,18,0.9602,0.8548
ED,PCG,0.16823,19,0.9573,1.0624
ADP,JBHT,0.170224,20,0.9585,0.9277
