Ticker_A,Ticker_B,SSD,Rank,Pearson_Corr
CMS,ES,0.040954,1,0.9873
DUK,PNW,0.045749,2,0.9758
DUK,ES,0.049732,3,0.9785
AEP,ED,0.05029,4,0.9898
CMS,ED,0.051067,5,0.9871
LNT,WEC,0.054684,6,0.9874
DTE,LNT,0.055641,7,0.9764
AEE,LNT,0.056552,8,0.9817
ES,PNW,0.058926,9,0.9663
DTE,DUK,0.064813,10,0.9769
ATO,ED,0.076676,11,0.9737
VTR,WELL,0.076989,12,0.954
CMS,PNW,0.07786,13,0.9739
CMS,DUK,0.083156,14,0.9896
PNW,SRE,0.083273,15,0.9649
ED,ES,0.086408,16,0.9859
DUK,LNT,0.094088,17,0.9735
ATO,CMS,0.095098,18,0.9735
AEP,ATO,0.096191,19,0.9661
JPM,MS,0.096886,20,0.9714
