Ticker_A,Ticker_B,SSD,Rank,Pearson_Corr,Hedge_Ratio
AEE,XEL,0.033916,1,0.9782,0.8994
AEP,XEL,0.055318,2,0.9649,0.8792
AVB,EQR,0.060193,3,0.9833,0.9265
AEE,AEP,0.064228,4,0.9536,0.9635
FRT,REG,0.094211,5,0.9544,1.0778
AEP,ETR,0.095252,6,0.9204,0.9961
LNT,WEC,0.099983,7,0.9503,1.078
CMS,DUK,0.105174,8,0.9809,1.0723
DTE,ES,0.106444,9,0.9477,0.9928
CMS,ES,0.122328,10,0.936,0.93
AEP,WEC,0.122729,11,0.9416,0.8851
HIG,TRV,0.125787,12,0.9555,1.0393
DUK,XEL,0.127804,13,0.9214,0.9608
EVRG,LNT,0.127906,14,0.9389,0.8363
CNP,SRE,0.132449,15,0.8984,0.9588
EVRG,WEC,0.138906,16,0.9103,0.9193
WEC,XEL,0.142653,17,0.9514,0.9238
AEE,DUK,0.144154,18,0.9071,0.8049
AEP,DUK,0.145635,19,0.9203,0.8083
NI,WEC,0.146096,20,0.912,0.984
