Ticker_A,Ticker_B,SSD,Rank,Pearson_Corr,Hedge_Ratio
EVRG,PNW,0.079201,1,0.982,1.0699
D,EVRG,0.081057,2,0.9772,0.9518
PNW,WEC,0.097373,3,0.9767,0.9402
PCG,XEL,0.102808,4,0.9619,1.0678
RTX,TT,0.103125,5,0.9865,0.9914
D,WEC,0.103399,6,0.9794,0.9988
AVB,EQR,0.110129,7,0.8096,0.8061
DUK,WEC,0.11472,8,0.9584,0.844
SO,T,0.116075,9,0.8787,0.712
D,PNW,0.117009,10,0.9568,1.0158
BXP,EQR,0.129006,11,0.79,0.7442
CL,WEC,0.129194,12,0.9536,0.8221
CPT,MAA,0.132699,13,0.8975,0.9131
AEP,DUK,0.133124,14,0.94,0.939
MAC,REG,0.133563,15,0.9486,1.008
DUK,PNW,0.135451,16,0.9548,0.8738
FITB,WFC,0.136924,17,0.9795,1.0049
HSIC,RTX,0.138225,18,0.9817,0.9505
PEG,XEL,0.138638,19,0.9705,1.1234
ES,EVRG,0.139261,20,0.9733,0.8652
