Ticker_A,Ticker_B,SSD,Rank,Pearson_Corr
DGX,LH,0.137467,1,0.9608
PCG,XEL,0.166166,2,0.9476
EIX,EVRG,0.176911,3,0.9684
EIX,JNJ,0.202525,4,0.9449
ED,PCG,0.210977,5,0.9434
PG,WM,0.214006,6,0.938
ED,WEC,0.217028,7,0.9524
CLX,LH,0.235855,8,0.9328
AEP,LNT,0.239019,9,0.9468
WEC,XEL,0.239645,10,0.9188
ES,EVRG,0.240063,11,0.9499
EVRG,JNJ,0.25191,12,0.9498
ED,XEL,0.256376,13,0.939
T,VZ,0.257869,14,0.8467
CPB,DUK,0.265137,15,0.9447
ERIE,JNJ,0.277939,16,0.9069
ADP,CVX,0.295825,17,0.9509
CNP,PNW,0.316045,18,0.968
D,EVRG,0.317069,19,0.9245
BF-B,PG,0.317601,20,0.9031
