Ticker_A,Ticker_B,SSD,Rank,Pearson_Corr,Hedge_Ratio
AEP,XEL,0.017947,1,0.9867,0.9604
CMS,WEC,0.05229,2,0.9732,1.1428
AEE,CMS,0.055073,3,0.9775,1.1088
AIV,AVB,0.061804,4,0.9824,0.8545
DUK,PNW,0.065195,5,0.9484,0.9914
AEP,DTE,0.068399,6,0.9431,0.9752
CPT,EQR,0.074124,7,0.9537,0.9185
DTE,XEL,0.075056,8,0.9476,0.8964
AVB,CPT,0.083878,9,0.9384,0.9224
AVB,EQR,0.086299,10,0.9435,0.8888
CMS,LNT,0.089525,11,0.9585,1.1264
AIV,EQR,0.08988,12,0.9518,0.7807
CPT,O,0.094766,13,0.9386,0.9087
AVB,UDR,0.095274,14,0.9713,0.9458
EVRG,EXC,0.098062,15,0.9567,0.8423
DTE,ES,0.099549,16,0.9269,0.96
CPT,UDR,0.101009,17,0.9634,0.9571
AIV,CPT,0.101824,18,0.9537,0.8149
LNT,WEC,0.104279,19,0.9134,0.9154
BAC,JPM,0.107584,20,0.9567,0.9795
