Ticker_A,Ticker_B,SSD,Rank,Pearson_Corr,Hedge_Ratio
WEC,XEL,0.049251,1,0.9546,1.0272
ED,SO,0.0716,2,0.9769,1.141
ED,WEC,0.072408,3,0.9606,1.1383
SO,WEC,0.072693,4,0.9623,0.9763
PNW,SO,0.078418,5,0.9433,1.0547
ED,PNW,0.080171,6,0.965,1.0103
DUK,SO,0.082901,7,0.9654,0.9464
DUK,PNW,0.088022,8,0.9706,0.8524
EVRG,PNW,0.095979,9,0.9493,1.0539
SO,XEL,0.105863,10,0.9379,1.0244
DUK,EVRG,0.106484,11,0.9506,0.7498
DTE,NEE,0.109407,12,0.939,1.164
PNW,WEC,0.109663,13,0.9473,1.0734
ED,XEL,0.123088,14,0.9328,1.1899
FRT,NEE,0.125281,15,0.9069,1.0625
AEE,SO,0.134648,16,0.88,0.6654
MAA,UDR,0.137878,17,0.9723,0.886
PNW,XEL,0.138437,18,0.9372,1.1424
D,DTE,0.139134,19,0.931,0.994
AEE,XEL,0.14264,20,0.882,0.7268
