Ticker_A,Ticker_B,SSD,Rank,Pearson_Corr
DUK,PNW,0.029583,1,0.9816
VTR,WELL,0.030089,2,0.9934
AEP,XEL,0.034408,3,0.9732
DTE,ED,0.052026,4,0.9718
DTE,ES,0.06385,5,0.9277
EQR,UDR,0.073294,6,0.9569
AEP,DTE,0.07606,7,0.9623
ED,ES,0.079667,8,0.9349
AEP,CMS,0.084628,9,0.9364
LNT,WEC,0.086151,10,0.911
DTE,XEL,0.088903,11,0.9748
AIV,O,0.090391,12,0.9142
CMS,XEL,0.092757,13,0.9472
CMS,DTE,0.093971,14,0.8955
AEP,ED,0.100819,15,0.9577
ED,XEL,0.114286,16,0.9683
CMA,RF,0.117515,17,0.9932
CMS,NI,0.12757,18,0.9299
FRT,UDR,0.127922,19,0.8853
AME,IEX,0.129695,20,0.9722
