Ticker_A,Ticker_B,SSD,Hedge_Ratio,Rank,Mean_A,Std_A,Mean_B,Std_B
MAC,SPG,2.666406,0.9947,1,11.554949609060136,6.432963642350937,70.69286556849404,28.38312659113016
FRT,REG,2.74583,0.9945,2,79.14447085062663,19.006320289671976,40.444731924268936,8.683210868779488
FITB,RF,2.844859,0.9943,3,18.435996536224607,4.177802402989925,10.186821315023634,2.186176709136827
CMA,HBAN,2.943094,0.9941,4,36.8138556707473,11.143980540042,8.585905228342328,1.981334455956156
BAC,JPM,3.804073,0.9924,5,23.88447223769294,4.032714075514387,94.415194102696,14.981034685454238
RF,TFC,4.050747,0.9919,6,10.186821315023634,2.186176709136827,33.13827889306204,6.7557144212330185
FITB,TFC,4.383711,0.9912,7,18.435996536224607,4.177802402989925,33.13827889306204,6.7557144212330185
CMA,USB,4.502735,0.991,8,36.8138556707473,11.143980540042,34.56679331310212,7.777219863173117
PNC,TFC,4.759023,0.9905,9,99.98513015868171,18.144499418924674,33.13827889306204,6.7557144212330185
HBAN,USB,4.787214,0.9904,10,8.585905228342328,1.981334455956156,34.56679331310212,7.777219863173117
HBAN,RF,4.953845,0.9901,11,8.585905228342328,1.981334455956156,10.186821315023634,2.186176709136827
KEY,RF,4.969774,0.9901,12,11.03960252943493,2.657268658358623,10.186821315023634,2.186176709136827
KEY,TFC,5.205432,0.9896,13,11.03960252943493,2.657268658358623,33.13827889306204,6.7557144212330185
COP,EOG,5.394747,0.9892,14,37.7432997037494,8.949180443091784,43.95344119601779,11.783667435822409
KEY,PNC,5.490555,0.989,15,11.03960252943493,2.657268658358623,99.98513015868171,18.144499418924674
FHN,HBAN,5.552643,0.9889,16,9.709880215781075,2.700232804815035,8.585905228342328,1.981334455956156
FRT,SPG,5.590734,0.9888,17,79.14447085062663,19.006320289671976,70.69286556849404,28.38312659113016
HBAN,KEY,5.599802,0.9888,18,8.585905228342328,1.981334455956156,11.03960252943493,2.657268658358623
FITB,PRU,5.755955,0.9885,19,18.435996536224607,4.177802402989925,54.495591186341784,11.436762626543215
CCL,M,5.825766,0.9883,20,27.207904369112047,14.444108637908828,8.519434026309423,3.6945495134472424
