Ticker_A,Ticker_B,SSD,Rank,Pearson_Corr,Hedge_Ratio
DTE,PCG,0.058858,1,0.9893,0.9409
AEE,XEL,0.061842,2,0.99,0.9586
PNW,XEL,0.06751,3,0.9907,1.03
BK,NTRS,0.076769,4,0.9584,0.9359
AEE,PNW,0.090649,5,0.9881,0.9193
LIN,ORCL,0.09524,6,0.9376,0.994
AEP,ED,0.097123,7,0.9864,0.9589
JPM,USB,0.097843,8,0.9379,1.3128
MTB,TFC,0.105181,9,0.9186,0.8438
CMS,WEC,0.110001,10,0.9945,1.0191
PNC,WFC,0.115401,11,0.9479,0.8736
ETR,NEE,0.123495,12,0.9821,0.8843
ES,SO,0.125318,13,0.9739,0.9774
PNW,WEC,0.125491,14,0.9902,0.9635
AEP,SO,0.130989,15,0.9874,1.1538
AVB,UDR,0.132375,16,0.9303,0.8336
ED,XEL,0.137694,17,0.9819,0.9396
WEC,XEL,0.139345,18,0.9933,1.0606
AIG,PNC,0.139419,19,0.9052,1.093
AVB,EQR,0.142289,20,0.8783,0.8206
