Ticker_A,Ticker_B,SSD,Rank,Pearson_Corr,Hedge_Ratio
CMS,WEC,0.024377,1,0.9951,0.9693
JPM,TFC,0.068851,2,0.9701,0.9143
AON,BRO,0.069252,3,0.9861,1.096
ED,XEL,0.070144,4,0.9887,1.0701
ATO,CMS,0.072572,5,0.992,1.0008
CMS,ED,0.07397,6,0.9874,1.0076
ED,WEC,0.080138,7,0.9867,0.9427
AEP,CMS,0.08208,8,0.9891,0.8572
FHN,JPM,0.084782,9,0.9779,1.1599
ALL,CL,0.086803,10,0.9454,0.9202
AEE,PCG,0.08911,11,0.9759,0.9304
CL,PEP,0.091087,12,0.9549,1.1571
ETR,XEL,0.09284,13,0.9747,0.963
CMS,XEL,0.094209,14,0.9976,1.1023
ATO,WEC,0.096297,15,0.9883,0.9708
AEP,ED,0.097339,16,0.9847,0.8713
DUK,XEL,0.098629,17,0.9863,0.981
AEP,XEL,0.100318,18,0.9899,0.948
PNW,XEL,0.103329,19,0.9853,1.1364
AEP,WEC,0.10805,20,0.9871,0.8339
