Ticker_A,Ticker_B,SSD,Rank,Pearson_Corr
ATO,CMS,0.022033,1,0.9864
CMS,XEL,0.032047,2,0.9928
CMS,ED,0.033297,3,0.9794
CMS,ES,0.03439,4,0.9857
ES,XEL,0.043595,5,0.9851
DUK,ED,0.043998,6,0.9806
ATO,ES,0.046635,7,0.9796
EIX,PCG,0.050109,8,0.9907
ATO,XEL,0.051354,9,0.9786
DUK,SRE,0.061629,10,0.9569
ED,XEL,0.064348,11,0.9822
ATO,ED,0.06586,12,0.9611
CLX,KMB,0.06867,13,0.9639
AEP,DUK,0.07163,14,0.9907
ED,ES,0.080486,15,0.9569
PPL,XEL,0.081174,16,0.9861
AEP,SRE,0.081443,17,0.9554
CMS,DUK,0.084637,18,0.9645
AVB,UDR,0.088178,19,0.9516
CMS,LNT,0.088331,20,0.9783
